Day,Entries,Exits
"Saturday, February 22, 2025",206,106
"Friday, February 21, 2025",196,84
"Wednesday, February 19, 2025",11,13
"Saturday, February 15, 2025",254,100
"Friday, February 14, 2025",276,132
"Wednesday, February 12, 2025",12,17
"Saturday, February 8, 2025",284,108
"Friday, February 7, 2025",292,166
"Wednesday, February 5, 2025",26,30
"Saturday, February 1, 2025",220,150
"Friday, January 31, 2025",223,104
"Wednesday, January 29, 2025",12,14
"Saturday, January 25, 2025",253,139
"Friday, January 24, 2025",251,139
"Wednesday, January 22, 2025",12,18
"Saturday, January 18, 2025",282,160
"Friday, January 17, 2025",233,93
"Wednesday, January 15, 2025",9,16
"Saturday, January 11, 2025",223,136
"Friday, January 10, 2025",209,110
"Wednesday, January 8, 2025",29,37
"Saturday, January 4, 2025",132,63
"Friday, January 3, 2025",133,57
"Wednesday, January 1, 2025",21,24
"Saturday, December 28, 2024",87,55
"Friday, December 27, 2024",86,43
"Wednesday, December 25, 2024",4,14
"Saturday, December 21, 2024",112,64
"Friday, December 20, 2024",119,79
"Wednesday, December 18, 2024",8,19
"Saturday, December 14, 2024",322,153
"Friday, December 13, 2024",308,174
"Wednesday, December 11, 2024",10,21
"Saturday, December 7, 2024",269,166
"Friday, December 6, 2024",229,98
"Wednesday, December 4, 2024",5,11
"Saturday, November 30, 2024",110,63
"Friday, November 29, 2024",74,68
"Wednesday, November 27, 2024",15,17
"Saturday, November 23, 2024",241,138
"Friday, November 22, 2024",213,134
"Wednesday, November 20, 2024",9,20
"Saturday, November 16, 2024",250,99
"Friday, November 15, 2024",267,118
"Wednesday, November 13, 2024",11,19
"Saturday, November 9, 2024",237,152
"Friday, November 8, 2024",260,142
"Wednesday, November 6, 2024",8,12
"Saturday, November 2, 2024",307,152
"Friday, November 1, 2024",288,166
"Wednesday, October 30, 2024",14,20
"Saturday, October 26, 2024",432,157
"Friday, October 25, 2024",305,128
"Wednesday, October 23, 2024",15,22
"Saturday, October 19, 2024",327,180
"Friday, October 18, 2024",331,148
"Wednesday, October 16, 2024",19,30
"Saturday, October 12, 2024",248,114
"Friday, October 11, 2024",241,127
"Wednesday, October 9, 2024",28,33
"Saturday, October 5, 2024",278,133
"Friday, October 4, 2024",245,120
"Wednesday, October 2, 2024",13,10
"Saturday, September 28, 2024",345,164
"Friday, September 27, 2024",227,157
"Wednesday, September 25, 2024",8,15
"Saturday, September 21, 2024",239,130
"Friday, September 20, 2024",262,110
"Wednesday, September 18, 2024",15,20
"Saturday, September 14, 2024",292,193
"Friday, September 13, 2024",254,133
"Wednesday, September 11, 2024",14,23
"Saturday, September 7, 2024",267,173
"Friday, September 6, 2024",262,91
"Wednesday, September 4, 2024",20,21
"Saturday, August 31, 2024",215,93
"Friday, August 30, 2024",226,116
"Wednesday, August 28, 2024",13,20
"Saturday, August 24, 2024",216,126
"Friday, August 23, 2024",264,80
"Wednesday, August 21, 2024",18,13
"Saturday, August 17, 2024",244,126
"Friday, August 16, 2024",203,102
"Wednesday, August 14, 2024",22,21
"Saturday, August 10, 2024",221,91
"Friday, August 9, 2024",202,173
"Wednesday, August 7, 2024",18,27
"Saturday, August 3, 2024",180,126
"Friday, August 2, 2024",187,118
"Wednesday, July 31, 2024",14,13
"Saturday, July 27, 2024",221,221
"Friday, July 26, 2024",181,171
"Wednesday, July 24, 2024",19,19
"Saturday, July 20, 2024",235,138
"Friday, July 19, 2024",214,267
"Wednesday, July 17, 2024",17,14
"Saturday, July 13, 2024",250,121
"Friday, July 12, 2024",233,104
"Wednesday, July 10, 2024",12,19
"Saturday, July 6, 2024",232,122
"Friday, July 5, 2024",193,116
"Wednesday, July 3, 2024",19,22
"Saturday, June 29, 2024",210,136
"Friday, June 28, 2024",250,86
"Wednesday, June 26, 2024",12,14
"Saturday, June 22, 2024",229,184
"Friday, June 21, 2024",280,99
"Wednesday, June 19, 2024",14,13
"Saturday, June 15, 2024",192,121
"Friday, June 14, 2024",240,126
"Wednesday, June 12, 2024",14,28
"Saturday, June 8, 2024",607,290
"Friday, June 7, 2024",250,213
"Wednesday, June 5, 2024",10,12
"Saturday, June 1, 2024",214,90
"Friday, May 31, 2024",224,114
"Wednesday, May 29, 2024",5,10
"Saturday, May 25, 2024",171,107
"Friday, May 24, 2024",203,74
"Wednesday, May 22, 2024",26,34
"Saturday, May 18, 2024",236,108
"Friday, May 17, 2024",244,95
