Day,Entries,Exits
"Saturday, February 22, 2025","1,960","1,683"
"Friday, February 21, 2025","2,475","1,993"
"Wednesday, February 19, 2025","2,058","1,480"
"Saturday, February 15, 2025","2,036","1,798"
"Friday, February 14, 2025","2,674","2,251"
"Wednesday, February 12, 2025","1,717","1,366"
"Saturday, February 8, 2025","1,870","1,739"
"Friday, February 7, 2025","2,853","2,332"
"Wednesday, February 5, 2025","2,088","1,490"
"Saturday, February 1, 2025","2,117","2,061"
"Friday, January 31, 2025","2,611","2,095"
"Wednesday, January 29, 2025","2,351","1,627"
"Saturday, January 25, 2025","2,116","1,849"
"Friday, January 24, 2025","2,455","1,966"
"Wednesday, January 22, 2025","1,818","1,388"
"Saturday, January 18, 2025","2,029","1,860"
"Friday, January 17, 2025","2,313","1,821"
"Wednesday, January 15, 2025","2,196","1,397"
"Saturday, January 11, 2025","1,748","1,375"
"Friday, January 10, 2025","2,237","1,910"
"Wednesday, January 8, 2025","1,955","1,733"
"Saturday, January 4, 2025","1,489","1,159"
"Friday, January 3, 2025","1,678","1,243"
"Wednesday, January 1, 2025",620,652
"Saturday, December 28, 2024","1,048","1,141"
"Friday, December 27, 2024","1,189","1,200"
"Wednesday, December 25, 2024",269,344
"Saturday, December 21, 2024","1,467","1,171"
"Friday, December 20, 2024","2,121","1,578"
"Wednesday, December 18, 2024","2,229","1,400"
"Saturday, December 14, 2024","3,038","2,772"
"Friday, December 13, 2024","3,462","2,622"
"Wednesday, December 11, 2024","2,663","1,918"
"Saturday, December 7, 2024","2,663","2,534"
"Friday, December 6, 2024","2,914","2,239"
"Wednesday, December 4, 2024","2,383","1,564"
"Saturday, November 30, 2024","1,424","1,147"
"Friday, November 29, 2024","1,311","1,047"
"Wednesday, November 27, 2024","1,426","1,042"
"Saturday, November 23, 2024","2,373","1,963"
"Friday, November 22, 2024","2,474","1,910"
"Wednesday, November 20, 2024","2,180","1,499"
"Saturday, November 16, 2024","2,056","1,790"
"Friday, November 15, 2024","2,751","2,160"
"Wednesday, November 13, 2024","2,570","1,829"
"Saturday, November 9, 2024","2,117","1,770"
"Friday, November 8, 2024","2,514","2,087"
"Wednesday, November 6, 2024","1,923","1,316"
"Saturday, November 2, 2024","2,854","2,210"
"Friday, November 1, 2024","2,661","2,199"
"Wednesday, October 30, 2024","2,563","1,736"
"Saturday, October 26, 2024","3,581","2,625"
"Friday, October 25, 2024","2,865","2,572"
"Wednesday, October 23, 2024","2,569","1,780"
"Saturday, October 19, 2024","2,504","2,281"
"Friday, October 18, 2024","2,979","2,628"
"Wednesday, October 16, 2024","2,473","1,660"
"Saturday, October 12, 2024","2,315","2,316"
"Friday, October 11, 2024","2,572","2,308"
"Wednesday, October 9, 2024","2,413","1,651"
"Saturday, October 5, 2024","2,431","2,641"
"Friday, October 4, 2024","2,852","2,285"
"Wednesday, October 2, 2024","2,054","1,551"
"Saturday, September 28, 2024","3,507","3,123"
"Friday, September 27, 2024","2,670","2,260"
"Wednesday, September 25, 2024","2,168","1,671"
"Saturday, September 21, 2024","2,174","2,384"
"Friday, September 20, 2024","2,653","2,018"
"Wednesday, September 18, 2024","2,398","1,788"
"Saturday, September 14, 2024","2,111","2,331"
"Friday, September 13, 2024","2,836","2,338"
"Wednesday, September 11, 2024","2,367","1,794"
"Saturday, September 7, 2024","2,243","2,031"
"Friday, September 6, 2024","2,469","1,908"
"Wednesday, September 4, 2024","2,015","1,292"
"Saturday, August 31, 2024","1,839","1,762"
"Friday, August 30, 2024","2,014","1,778"
"Wednesday, August 28, 2024","1,965","1,473"
"Saturday, August 24, 2024","2,065","1,941"
"Friday, August 23, 2024","2,321","1,960"
"Wednesday, August 21, 2024","2,025","1,512"
"Saturday, August 17, 2024","1,864","1,738"
"Friday, August 16, 2024","2,220","1,870"
"Wednesday, August 14, 2024","2,066","1,389"
"Saturday, August 10, 2024","1,947","1,683"
"Friday, August 9, 2024","1,888","1,711"
"Wednesday, August 7, 2024","1,928","1,314"
"Saturday, August 3, 2024","1,476","1,597"
"Friday, August 2, 2024","2,187","2,251"
"Wednesday, July 31, 2024","2,139","1,363"
"Saturday, July 27, 2024","2,207","2,140"
"Friday, July 26, 2024","2,403","2,151"
"Wednesday, July 24, 2024","2,104","1,631"
"Saturday, July 20, 2024","1,959","2,311"
"Friday, July 19, 2024","2,495","2,441"
"Wednesday, July 17, 2024","1,990","1,276"
"Saturday, July 13, 2024","2,131","2,249"
"Friday, July 12, 2024","2,439","2,121"
"Wednesday, July 10, 2024","2,329","1,603"
"Saturday, July 6, 2024","1,907","1,825"
"Friday, July 5, 2024","2,054","1,897"
"Wednesday, July 3, 2024","2,109","1,866"
"Saturday, June 29, 2024","2,184","1,950"
"Friday, June 28, 2024","2,608","2,127"
"Wednesday, June 26, 2024","2,357","1,517"
"Saturday, June 22, 2024","2,226","2,537"
"Friday, June 21, 2024","2,681","2,123"
"Wednesday, June 19, 2024","1,954","1,536"
"Saturday, June 15, 2024","2,103","2,180"
"Friday, June 14, 2024","2,414","2,445"
"Wednesday, June 12, 2024","2,627","2,056"
"Saturday, June 8, 2024","11,210","6,820"
"Friday, June 7, 2024","3,387","3,079"
"Wednesday, June 5, 2024","2,205","1,575"
"Saturday, June 1, 2024","2,191","1,786"
"Friday, May 31, 2024","2,570","2,044"
"Wednesday, May 29, 2024","2,154","1,300"
"Saturday, May 25, 2024","2,146","1,975"
"Friday, May 24, 2024","2,239","1,943"
"Wednesday, May 22, 2024","2,554","1,459"
"Saturday, May 18, 2024","2,052","1,734"
"Friday, May 17, 2024","2,747","1,984"
"Wednesday, May 15, 2024","2,423","1,706"
"Saturday, May 11, 2024","1,933","1,548"
"Friday, May 10, 2024","2,351","1,756"
"Wednesday, May 8, 2024","2,411","1,922"
"Saturday, May 4, 2024","2,243","1,696"
"Friday, May 3, 2024","2,663","2,125"
"Wednesday, May 1, 2024","2,363","1,597"
"Saturday, April 27, 2024","2,525","1,888"
"Friday, April 26, 2024","2,579","2,229"
"Wednesday, April 24, 2024","2,465","1,806"
"Saturday, April 20, 2024","2,829","2,658"
"Friday, April 19, 2024","2,435","2,156"
"Wednesday, April 17, 2024","2,441","1,661"
"Saturday, April 13, 2024","2,548","2,425"
"Friday, April 12, 2024","2,733","2,127"
"Wednesday, April 10, 2024","2,388","1,588"
"Saturday, April 6, 2024","2,474","2,320"
"Friday, April 5, 2024","3,073","2,661"
"Wednesday, April 3, 2024","2,297","1,908"
"Saturday, March 30, 2024","2,336","2,413"
"Friday, March 29, 2024","2,775","2,510"
"Wednesday, March 27, 2024","2,251","1,591"
"Saturday, March 23, 2024","2,375","2,201"
"Friday, March 22, 2024","2,786","2,294"
"Wednesday, March 20, 2024","2,493","1,980"
"Saturday, March 16, 2024","3,571","2,546"
"Friday, March 15, 2024","2,536","2,031"
"Wednesday, March 13, 2024","2,408","1,934"
"Saturday, March 9, 2024","1,673","1,516"
"Friday, March 8, 2024","2,558","2,178"
"Wednesday, March 6, 2024","2,019","1,566"
"Saturday, March 2, 2024","1,758","1,660"
"Friday, March 1, 2024","2,454","1,918"
"Wednesday, February 28, 2024","1,924","1,333"
"Saturday, February 24, 2024","1,677","1,503"
"Friday, February 23, 2024","2,288","1,757"
"Wednesday, February 21, 2024","2,035","1,312"
"Saturday, February 17, 2024","2,040","1,671"
"Friday, February 16, 2024","2,205","1,760"
"Wednesday, February 14, 2024","2,010","1,541"
"Saturday, February 10, 2024","2,056","1,840"
"Friday, February 9, 2024","2,264","1,880"
"Wednesday, February 7, 2024","2,120","1,333"
"Saturday, February 3, 2024","2,176","2,483"
"Friday, February 2, 2024","2,265","1,933"
"Wednesday, January 31, 2024","1,927","1,371"
"Saturday, January 27, 2024","1,969","1,662"
"Friday, January 26, 2024","2,504","1,964"
"Wednesday, January 24, 2024","1,912","1,375"
"Saturday, January 20, 2024","1,624","1,403"
"Friday, January 19, 2024","1,733","1,427"
"Wednesday, January 17, 2024","1,543","1,065"
"Saturday, January 13, 2024","1,981","1,544"
"Friday, January 12, 2024","1,687","1,128"
"Wednesday, January 10, 2024","1,877","1,181"
"Saturday, January 6, 2024","1,000",961
"Friday, January 5, 2024","2,011","1,391"
"Wednesday, January 3, 2024","1,297",870
"Saturday, December 30, 2023","1,169",950
"Friday, December 29, 2023","1,809","1,280"
"Wednesday, December 27, 2023","1,450",762
"Saturday, December 23, 2023","1,737","1,104"
"Friday, December 22, 2023","1,666","1,257"
"Wednesday, December 20, 2023","2,316","1,139"
"Saturday, December 16, 2023","1,816","1,655"
"Friday, December 15, 2023","2,308","1,881"
"Wednesday, December 13, 2023","2,145","1,651"
"Saturday, December 9, 2023","2,421","1,918"
"Friday, December 8, 2023","2,316","1,927"
"Wednesday, December 6, 2023","2,143","1,618"
"Saturday, December 2, 2023","2,014","1,848"
"Friday, December 1, 2023","2,140","1,621"
"Wednesday, November 29, 2023","1,765","1,200"
"Saturday, November 25, 2023","1,070","1,026"
"Friday, November 24, 2023","1,139",979
"Wednesday, November 22, 2023","1,162",832
"Saturday, November 18, 2023","1,664","1,420"
"Friday, November 17, 2023","2,187","1,921"
"Wednesday, November 15, 2023","2,261","1,641"
"Saturday, November 11, 2023","2,043","1,891"
"Friday, November 10, 2023","2,231","1,838"
"Wednesday, November 8, 2023","2,125","1,490"
"Saturday, November 4, 2023","2,750","1,871"
"Friday, November 3, 2023","2,691","1,939"
"Wednesday, November 1, 2023","2,155","1,446"
"Saturday, October 28, 2023","3,632","2,556"
"Friday, October 27, 2023","2,435","2,473"
"Wednesday, October 25, 2023","2,296","1,538"
"Saturday, October 21, 2023","2,178","1,817"
"Friday, October 20, 2023","2,249","1,994"
"Wednesday, October 18, 2023","2,244","1,387"
"Saturday, October 14, 2023","1,693","1,461"
"Friday, October 13, 2023","2,293","2,141"
"Wednesday, October 11, 2023","2,099","1,462"
"Saturday, October 7, 2023","2,016","1,898"
"Friday, October 6, 2023","2,677","2,111"
"Wednesday, October 4, 2023","2,297","1,360"
"Saturday, September 30, 2023","3,049","3,335"
"Friday, September 29, 2023","2,435","2,163"
"Wednesday, September 27, 2023","2,260","1,588"
"Saturday, September 23, 2023","1,564","1,400"
"Friday, September 22, 2023","2,270","2,101"
"Wednesday, September 20, 2023","2,232","1,600"
"Saturday, September 16, 2023","1,910","1,818"
"Friday, September 15, 2023","2,343","1,882"
"Wednesday, September 13, 2023","2,195","1,513"
"Saturday, September 9, 2023","1,607","1,584"
"Friday, September 8, 2023","2,196","1,773"
"Wednesday, September 6, 2023","1,833","1,314"
"Saturday, September 2, 2023","1,963","1,691"
"Friday, September 1, 2023","2,194","1,814"
"Wednesday, August 30, 2023","1,960","1,286"
"Saturday, August 26, 2023","1,905","1,679"
"Friday, August 25, 2023","1,941","1,607"
"Wednesday, August 23, 2023","1,920","1,186"
"Saturday, August 19, 2023","1,639","1,714"
"Friday, August 18, 2023","1,862","1,838"
"Wednesday, August 16, 2023","1,933","1,491"
"Saturday, August 12, 2023","1,723","1,658"
"Friday, August 11, 2023","1,958","1,862"
"Wednesday, August 9, 2023","1,934","1,303"
"Saturday, August 5, 2023","1,924","1,674"
"Friday, August 4, 2023","2,304","2,005"
"Wednesday, August 2, 2023","2,036","1,402"
"Saturday, July 29, 2023","1,885","1,954"
"Friday, July 28, 2023","2,008","1,738"
"Wednesday, July 26, 2023","2,221","1,647"
"Saturday, July 22, 2023","2,057","2,438"
"Friday, July 21, 2023","2,267","2,113"
"Wednesday, July 19, 2023","2,164","1,572"
"Saturday, July 15, 2023","2,004","1,825"
"Friday, July 14, 2023","1,980","1,855"
"Wednesday, July 12, 2023","2,223","1,532"
"Saturday, July 8, 2023","1,830","1,778"
"Friday, July 7, 2023","2,588","2,020"
"Wednesday, July 5, 2023","1,586","1,187"
"Saturday, July 1, 2023","1,715","1,512"
"Friday, June 30, 2023","1,983","1,651"
"Wednesday, June 28, 2023","2,467","1,562"
"Saturday, June 24, 2023","2,280","2,160"
"Friday, June 23, 2023","2,355","1,892"
"Wednesday, June 21, 2023","2,085","1,315"
"Saturday, June 17, 2023","1,881","1,780"
"Friday, June 16, 2023","2,398","1,807"
"Wednesday, June 14, 2023","2,303","1,862"
"Saturday, June 10, 2023","12,632","3,595"
"Friday, June 9, 2023","2,331","1,972"
"Wednesday, June 7, 2023","2,136","1,507"
"Saturday, June 3, 2023","1,966","1,776"
"Friday, June 2, 2023","2,356","2,092"
"Wednesday, May 31, 2023","2,020","1,279"
"Saturday, May 27, 2023","1,799","1,491"
"Friday, May 26, 2023","2,199","1,690"
"Wednesday, May 24, 2023","2,090","1,349"
"Saturday, May 20, 2023","2,095","1,621"
"Friday, May 19, 2023","2,339","1,985"
"Wednesday, May 17, 2023","2,345","1,423"
"Saturday, May 13, 2023","1,581","1,553"
"Friday, May 12, 2023","2,193","1,991"
"Wednesday, May 10, 2023","2,148","1,409"
"Saturday, May 6, 2023","2,190","1,463"
"Friday, May 5, 2023","2,350","1,773"
"Wednesday, May 3, 2023","1,955","1,324"
"Saturday, April 29, 2023","2,089","1,698"
"Friday, April 28, 2023","1,752","1,139"
"Wednesday, April 26, 2023","1,999","1,274"
"Saturday, April 22, 2023","1,326","1,126"
"Friday, April 21, 2023","2,283","1,866"
"Wednesday, April 19, 2023","2,097","1,571"
"Saturday, April 15, 2023","2,116","1,904"
"Friday, April 14, 2023","2,255","1,716"
"Wednesday, April 12, 2023","2,182","1,266"
"Saturday, April 8, 2023","1,735","1,567"
"Friday, April 7, 2023","2,119","1,745"
"Wednesday, April 5, 2023","2,076","1,317"
"Saturday, April 1, 2023","2,138","2,006"
"Friday, March 31, 2023","2,233","1,941"
"Wednesday, March 29, 2023","2,199","1,463"
