Day,Entries,Exits
"Saturday, February 22, 2025",89,89
"Friday, February 21, 2025",101,123
"Wednesday, February 19, 2025",17,25
"Saturday, February 15, 2025",155,322
"Friday, February 14, 2025",161,110
"Wednesday, February 12, 2025",28,19
"Saturday, February 8, 2025",112,110
"Friday, February 7, 2025",158,95
"Wednesday, February 5, 2025",14,11
"Saturday, February 1, 2025",122,99
"Friday, January 31, 2025",99,127
"Wednesday, January 29, 2025",19,23
"Saturday, January 25, 2025",80,99
"Friday, January 24, 2025",97,144
"Wednesday, January 22, 2025",31,25
"Saturday, January 18, 2025",112,138
"Friday, January 17, 2025",89,130
"Wednesday, January 15, 2025",41,34
"Saturday, January 11, 2025",69,96
"Friday, January 10, 2025",47,66
"Wednesday, January 8, 2025",14,18
"Saturday, January 4, 2025",37,33
"Friday, January 3, 2025",30,42
"Wednesday, January 1, 2025",19,23
"Saturday, December 28, 2024",125,71
"Friday, December 27, 2024",92,50
"Wednesday, December 25, 2024",22,10
"Saturday, December 21, 2024",128,82
"Friday, December 20, 2024",196,142
"Wednesday, December 18, 2024",2,10
"Saturday, December 14, 2024",89,122
"Friday, December 13, 2024",108,93
"Wednesday, December 11, 2024",26,39
"Saturday, December 7, 2024",78,130
"Friday, December 6, 2024",130,152
"Wednesday, December 4, 2024",20,26
"Saturday, November 30, 2024",36,63
"Friday, November 29, 2024",34,51
"Wednesday, November 27, 2024",8,12
"Saturday, November 23, 2024",76,103
"Friday, November 22, 2024",53,80
"Wednesday, November 20, 2024",10,23
"Saturday, November 16, 2024",107,105
"Friday, November 15, 2024",122,114
"Wednesday, November 13, 2024",24,44
"Saturday, November 9, 2024",140,104
"Friday, November 8, 2024",129,98
"Wednesday, November 6, 2024",6,6
"Saturday, November 2, 2024",156,131
"Friday, November 1, 2024",186,164
"Wednesday, October 30, 2024",5,17
"Saturday, October 26, 2024",135,141
"Friday, October 25, 2024",108,137
"Wednesday, October 23, 2024",16,25
"Saturday, October 19, 2024",156,146
"Friday, October 18, 2024",117,149
"Wednesday, October 16, 2024",16,22
"Saturday, October 12, 2024",66,105
"Friday, October 11, 2024",91,105
"Wednesday, October 9, 2024",12,32
"Saturday, October 5, 2024",128,101
"Friday, October 4, 2024",116,120
"Wednesday, October 2, 2024",15,27
"Saturday, September 28, 2024",131,159
"Friday, September 27, 2024",110,141
"Wednesday, September 25, 2024",14,21
"Saturday, September 21, 2024",161,163
"Friday, September 20, 2024",108,146
"Wednesday, September 18, 2024",8,13
"Saturday, September 14, 2024",146,156
"Friday, September 13, 2024",141,129
"Wednesday, September 11, 2024",6,14
"Saturday, September 7, 2024",127,153
"Friday, September 6, 2024",116,152
"Wednesday, September 4, 2024",37,35
"Saturday, August 31, 2024",116,110
"Friday, August 30, 2024",58,171
"Wednesday, August 28, 2024",20,26
"Saturday, August 24, 2024",97,140
"Friday, August 23, 2024",111,123
"Wednesday, August 21, 2024",21,37
"Saturday, August 17, 2024",60,67
"Friday, August 16, 2024",72,52
"Wednesday, August 14, 2024",6,15
"Saturday, August 10, 2024",60,41
"Friday, August 9, 2024",56,94
"Wednesday, August 7, 2024",5,26
"Saturday, August 3, 2024",64,63
"Friday, August 2, 2024",69,69
"Wednesday, July 31, 2024",20,18
"Saturday, July 27, 2024",87,172
"Friday, July 26, 2024",99,149
"Wednesday, July 24, 2024",34,63
"Saturday, July 20, 2024",108,119
"Friday, July 19, 2024",100,216
"Wednesday, July 17, 2024",22,26
"Saturday, July 13, 2024",95,129
"Friday, July 12, 2024",92,87
"Wednesday, July 10, 2024",12,22
"Saturday, July 6, 2024",58,89
"Friday, July 5, 2024",56,65
"Wednesday, July 3, 2024",16,34
"Saturday, June 29, 2024",90,104
"Friday, June 28, 2024",81,87
"Wednesday, June 26, 2024",12,15
"Saturday, June 22, 2024",141,255
"Friday, June 21, 2024",100,117
"Wednesday, June 19, 2024",12,23
"Saturday, June 15, 2024",134,125
"Friday, June 14, 2024",111,119
"Wednesday, June 12, 2024",14,35
"Saturday, June 8, 2024",127,117
"Friday, June 7, 2024",109,145
"Wednesday, June 5, 2024",15,19
"Saturday, June 1, 2024",89,49
"Friday, May 31, 2024",78,75
"Wednesday, May 29, 2024",2,13
"Saturday, May 25, 2024",57,50
"Friday, May 24, 2024",56,54
"Wednesday, May 22, 2024",23,23
"Saturday, May 18, 2024",89,59
"Friday, May 17, 2024",98,65
"Wednesday, May 15, 2024",20,32
"Saturday, May 11, 2024",52,62
"Friday, May 10, 2024",60,70
"Wednesday, May 8, 2024",24,21
"Saturday, May 4, 2024",67,60
"Friday, May 3, 2024",79,59
"Wednesday, May 1, 2024",35,34
"Saturday, April 27, 2024",89,131
"Friday, April 26, 2024",118,86
"Wednesday, April 24, 2024",27,27
"Saturday, April 20, 2024",118,98
"Friday, April 19, 2024",75,98
"Wednesday, April 17, 2024",16,13
"Saturday, April 13, 2024",107,99
"Friday, April 12, 2024",90,94
"Wednesday, April 10, 2024",10,18
"Saturday, April 6, 2024",90,77
"Friday, April 5, 2024",87,108
"Wednesday, April 3, 2024",40,43
"Saturday, March 30, 2024",64,79
"Friday, March 29, 2024",93,101
"Wednesday, March 27, 2024",12,14
"Saturday, March 23, 2024",123,105
"Friday, March 22, 2024",105,113
"Wednesday, March 20, 2024",15,16
"Saturday, March 16, 2024",85,125
"Friday, March 15, 2024",59,99
"Wednesday, March 13, 2024",9,10
"Saturday, March 9, 2024",67,52
"Friday, March 8, 2024",92,84
"Wednesday, March 6, 2024",18,28
"Saturday, March 2, 2024",113,85
"Friday, March 1, 2024",74,94
"Wednesday, February 28, 2024",10,9
"Saturday, February 24, 2024",90,80
"Friday, February 23, 2024",100,121
"Wednesday, February 21, 2024",17,24
"Saturday, February 17, 2024",91,90
"Friday, February 16, 2024",64,97
"Wednesday, February 14, 2024",54,68
"Saturday, February 10, 2024",88,101
"Friday, February 9, 2024",71,100
"Wednesday, February 7, 2024",7,11
"Saturday, February 3, 2024",85,104
"Friday, February 2, 2024",78,82
"Wednesday, January 31, 2024",10,8
"Saturday, January 27, 2024",96,89
"Friday, January 26, 2024",125,85
"Wednesday, January 24, 2024",35,40
"Saturday, January 20, 2024",72,89
"Friday, January 19, 2024",88,117
"Wednesday, January 17, 2024",18,38
"Saturday, January 13, 2024",105,166
"Friday, January 12, 2024",91,121
"Wednesday, January 10, 2024",36,42
"Saturday, January 6, 2024",33,49
"Friday, January 5, 2024",50,40
"Wednesday, January 3, 2024",7,13
"Saturday, December 30, 2023",33,29
"Friday, December 29, 2023",36,24
"Wednesday, December 27, 2023",27,26
"Saturday, December 23, 2023",27,26
"Friday, December 22, 2023",28,23
"Wednesday, December 20, 2023",22,22
"Saturday, December 16, 2023",103,99
"Friday, December 15, 2023",87,107
"Wednesday, December 13, 2023",13,23
"Saturday, December 9, 2023",121,77
"Friday, December 8, 2023",143,104
"Wednesday, December 6, 2023",26,29
"Saturday, December 2, 2023",116,113
"Friday, December 1, 2023",103,68
"Wednesday, November 29, 2023",6,11
"Saturday, November 25, 2023",47,49
"Friday, November 24, 2023",36,34
"Wednesday, November 22, 2023",3,11
"Saturday, November 18, 2023",66,66
"Friday, November 17, 2023",135,87
"Wednesday, November 15, 2023",27,31
"Saturday, November 11, 2023",112,91
"Friday, November 10, 2023",102,124
"Wednesday, November 8, 2023",27,29
"Saturday, November 4, 2023",121,88
"Friday, November 3, 2023",91,91
"Wednesday, November 1, 2023",9,15
"Saturday, October 28, 2023",122,170
"Friday, October 27, 2023",152,151
"Wednesday, October 25, 2023",15,22
"Saturday, October 21, 2023",95,163
"Friday, October 20, 2023",115,86
"Wednesday, October 18, 2023",12,28
"Saturday, October 14, 2023",89,118
"Friday, October 13, 2023",84,76
"Wednesday, October 11, 2023",4,26
"Saturday, October 7, 2023",89,103
"Friday, October 6, 2023",110,91
"Wednesday, October 4, 2023",14,20
"Saturday, September 30, 2023",135,116
"Friday, September 29, 2023",133,108
"Wednesday, September 27, 2023",26,33
"Saturday, September 23, 2023",90,96
"Friday, September 22, 2023",94,109
"Wednesday, September 20, 2023",5,9
"Saturday, September 16, 2023",116,88
"Friday, September 15, 2023",96,100
"Wednesday, September 13, 2023",12,18
"Saturday, September 9, 2023",112,146
"Friday, September 8, 2023",100,112
"Wednesday, September 6, 2023",20,30
"Saturday, September 2, 2023",100,148
"Friday, September 1, 2023",74,130
"Wednesday, August 30, 2023",17,35
"Saturday, August 26, 2023",85,102
"Friday, August 25, 2023",59,93
"Wednesday, August 23, 2023",14,21
"Saturday, August 19, 2023",66,69
"Friday, August 18, 2023",76,117
"Wednesday, August 16, 2023",5,6
"Saturday, August 12, 2023",72,61
"Friday, August 11, 2023",71,96
"Wednesday, August 9, 2023",24,40
"Saturday, August 5, 2023",70,149
"Friday, August 4, 2023",72,76
"Wednesday, August 2, 2023",15,28
"Saturday, July 29, 2023",69,158
"Friday, July 28, 2023",83,122
"Wednesday, July 26, 2023",8,22
"Saturday, July 22, 2023",64,163
"Friday, July 21, 2023",94,147
"Wednesday, July 19, 2023",10,23
"Saturday, July 15, 2023",82,71
"Friday, July 14, 2023",72,94
"Wednesday, July 12, 2023",11,15
"Saturday, July 8, 2023",88,120
"Friday, July 7, 2023",64,99
"Wednesday, July 5, 2023",4,14
"Saturday, July 1, 2023",75,130
"Friday, June 30, 2023",62,105
"Wednesday, June 28, 2023",41,57
"Saturday, June 24, 2023",70,361
"Friday, June 23, 2023",78,85
"Wednesday, June 21, 2023",8,21
"Saturday, June 17, 2023",80,79
"Friday, June 16, 2023",60,93
"Wednesday, June 14, 2023",22,39
"Saturday, June 10, 2023",133,97
"Friday, June 9, 2023",60,63
"Wednesday, June 7, 2023",15,31
"Saturday, June 3, 2023",60,77
"Friday, June 2, 2023",90,94
"Wednesday, May 31, 2023",45,54
"Saturday, May 27, 2023",78,66
"Friday, May 26, 2023",59,47
"Wednesday, May 24, 2023",13,33
"Saturday, May 20, 2023",84,65
"Friday, May 19, 2023",75,60
"Wednesday, May 17, 2023",6,20
"Saturday, May 13, 2023",74,88
"Friday, May 12, 2023",107,133
"Wednesday, May 10, 2023",8,21
"Saturday, May 6, 2023",83,100
"Friday, May 5, 2023",97,77
"Wednesday, May 3, 2023",19,39
"Saturday, April 29, 2023",110,144
"Friday, April 28, 2023",71,71
"Wednesday, April 26, 2023",11,20
"Saturday, April 22, 2023",74,100
"Friday, April 21, 2023",104,100
"Wednesday, April 19, 2023",13,17
"Saturday, April 15, 2023",110,130
"Friday, April 14, 2023",105,115
"Wednesday, April 12, 2023",10,11
"Saturday, April 8, 2023",68,86
"Friday, April 7, 2023",69,84
"Wednesday, April 5, 2023",21,20
"Saturday, April 1, 2023",88,107
"Friday, March 31, 2023",104,71
"Wednesday, March 29, 2023",19,20
"Saturday, March 25, 2023",95,80
"Friday, March 24, 2023",59,81
"Wednesday, March 22, 2023",12,19
"Saturday, March 18, 2023",64,92
"Friday, March 17, 2023",75,85
"Wednesday, March 15, 2023",16,29
"Saturday, March 11, 2023",79,53
"Friday, March 10, 2023",61,76
"Wednesday, March 8, 2023",13,31
"Saturday, March 4, 2023",65,83
"Friday, March 3, 2023",66,66
"Wednesday, March 1, 2023",17,20
"Saturday, February 25, 2023",88,65
"Friday, February 24, 2023",91,87
"Wednesday, February 22, 2023",10,9
"Saturday, February 18, 2023",72,76
"Friday, February 17, 2023",60,59
"Wednesday, February 15, 2023",16,21
"Saturday, February 11, 2023",81,60
"Friday, February 10, 2023",84,75
"Wednesday, February 8, 2023",5,8
