Day,Entries,Exits
"Saturday, February 22, 2025","2,213","1,499"
"Friday, February 21, 2025","2,531","1,411"
"Wednesday, February 19, 2025","3,014","1,075"
"Saturday, February 15, 2025","2,454","3,104"
"Friday, February 14, 2025","2,756","1,872"
"Wednesday, February 12, 2025","2,281","1,109"
"Saturday, February 8, 2025","1,911","1,313"
"Friday, February 7, 2025","3,038","1,728"
"Wednesday, February 5, 2025","3,788","1,080"
"Saturday, February 1, 2025","2,302","1,633"
"Friday, January 31, 2025","2,782","1,415"
"Wednesday, January 29, 2025","3,449","1,143"
"Saturday, January 25, 2025","1,829","1,331"
"Friday, January 24, 2025","2,379","1,567"
"Wednesday, January 22, 2025","2,968",916
"Saturday, January 18, 2025","2,383","1,680"
"Friday, January 17, 2025","2,389","1,368"
"Wednesday, January 15, 2025","3,072","1,007"
"Saturday, January 11, 2025","1,229","1,236"
"Friday, January 10, 2025","1,652",936
"Wednesday, January 8, 2025","1,529",947
"Saturday, January 4, 2025","1,004",636
"Friday, January 3, 2025","1,307",632
"Wednesday, January 1, 2025",745,467
"Saturday, December 28, 2024","1,923","1,714"
"Friday, December 27, 2024","1,996","1,645"
"Wednesday, December 25, 2024",605,642
"Saturday, December 21, 2024","2,220","1,688"
"Friday, December 20, 2024","3,084","2,104"
"Wednesday, December 18, 2024","2,102",998
"Saturday, December 14, 2024","2,167","2,038"
"Friday, December 13, 2024","2,921","1,709"
"Wednesday, December 11, 2024","2,632","1,373"
"Saturday, December 7, 2024","2,263","2,396"
"Friday, December 6, 2024","2,786","1,720"
"Wednesday, December 4, 2024","3,040","1,193"
"Saturday, November 30, 2024","1,274","1,109"
"Friday, November 29, 2024","1,201",956
"Wednesday, November 27, 2024","1,434",678
"Saturday, November 23, 2024","1,816","1,221"
"Friday, November 22, 2024","2,350","1,284"
"Wednesday, November 20, 2024","3,193","1,142"
"Saturday, November 16, 2024","1,979","1,475"
"Friday, November 15, 2024","3,067","1,577"
"Wednesday, November 13, 2024","3,255","1,204"
"Saturday, November 9, 2024","2,128","1,513"
"Friday, November 8, 2024","2,849","1,680"
"Wednesday, November 6, 2024","2,716","1,104"
"Saturday, November 2, 2024","2,381","1,781"
"Friday, November 1, 2024","2,864","1,763"
"Wednesday, October 30, 2024","3,531","1,336"
"Saturday, October 26, 2024","2,582","1,793"
"Friday, October 25, 2024","3,303","1,781"
"Wednesday, October 23, 2024","3,955","1,370"
"Saturday, October 19, 2024","3,245","2,208"
"Friday, October 18, 2024","3,741","2,127"
"Wednesday, October 16, 2024","3,637","1,365"
"Saturday, October 12, 2024","2,394","1,936"
"Friday, October 11, 2024","2,510","1,706"
"Wednesday, October 9, 2024","3,728","1,327"
"Saturday, October 5, 2024","2,701","1,964"
"Friday, October 4, 2024","3,379","1,864"
"Wednesday, October 2, 2024","3,467","1,334"
"Saturday, September 28, 2024","2,889","2,149"
"Friday, September 27, 2024","2,843","2,035"
"Wednesday, September 25, 2024","3,822","1,363"
"Saturday, September 21, 2024","2,346","1,814"
"Friday, September 20, 2024","3,189","1,801"
"Wednesday, September 18, 2024","3,795","1,379"
"Saturday, September 14, 2024","2,389","2,155"
"Friday, September 13, 2024","2,939","1,928"
"Wednesday, September 11, 2024","3,541","1,419"
"Saturday, September 7, 2024","2,053","1,787"
"Friday, September 6, 2024","3,073","1,743"
"Wednesday, September 4, 2024","3,686","1,165"
"Saturday, August 31, 2024","2,061","1,618"
"Friday, August 30, 2024","2,547","1,715"
"Wednesday, August 28, 2024","3,425","1,357"
"Saturday, August 24, 2024","2,635","1,718"
"Friday, August 23, 2024","2,925","1,799"
"Wednesday, August 21, 2024","2,548","1,498"
"Saturday, August 17, 2024","1,736","1,124"
"Friday, August 16, 2024","2,418","1,357"
"Wednesday, August 14, 2024","2,324","1,067"
"Saturday, August 10, 2024","1,974","1,394"
"Friday, August 9, 2024","2,063","1,263"
"Wednesday, August 7, 2024","2,135","1,155"
"Saturday, August 3, 2024","1,480","1,013"
"Friday, August 2, 2024","2,332","1,746"
"Wednesday, July 31, 2024","2,296","1,302"
"Saturday, July 27, 2024","2,340","1,630"
"Friday, July 26, 2024","2,918","1,926"
"Wednesday, July 24, 2024","2,834","1,958"
"Saturday, July 20, 2024","1,825","1,890"
"Friday, July 19, 2024","2,259","2,065"
"Wednesday, July 17, 2024","1,816","1,244"
"Saturday, July 13, 2024","2,239","1,689"
"Friday, July 12, 2024","2,181","1,473"
"Wednesday, July 10, 2024","2,529","1,406"
"Saturday, July 6, 2024","1,890","1,642"
"Friday, July 5, 2024","2,552","1,948"
"Wednesday, July 3, 2024","2,770","2,213"
"Saturday, June 29, 2024","2,433","1,669"
"Friday, June 28, 2024","3,303","2,238"
"Wednesday, June 26, 2024","2,647","1,567"
"Saturday, June 22, 2024","2,525","2,264"
"Friday, June 21, 2024","2,670","1,735"
"Wednesday, June 19, 2024","1,759","1,537"
"Saturday, June 15, 2024","2,056","1,740"
"Friday, June 14, 2024","2,742","2,201"
"Wednesday, June 12, 2024","2,986","2,488"
"Saturday, June 8, 2024","3,008","2,539"
"Friday, June 7, 2024","3,341","2,433"
"Wednesday, June 5, 2024","2,327","1,355"
"Saturday, June 1, 2024","2,724","1,395"
"Friday, May 31, 2024","2,657","1,674"
"Wednesday, May 29, 2024","2,099","1,072"
"Saturday, May 25, 2024","2,159","1,471"
"Friday, May 24, 2024","2,197","1,356"
"Wednesday, May 22, 2024","2,554","1,064"
"Saturday, May 18, 2024","2,214","1,414"
"Friday, May 17, 2024","3,019","1,498"
"Wednesday, May 15, 2024","2,316","1,243"
"Saturday, May 11, 2024","1,964","1,183"
"Friday, May 10, 2024","2,339","1,356"
"Wednesday, May 8, 2024","2,710","1,515"
"Saturday, May 4, 2024","1,771","1,402"
"Friday, May 3, 2024","2,779","1,673"
"Wednesday, May 1, 2024","2,914","1,325"
"Saturday, April 27, 2024","2,447","1,593"
"Friday, April 26, 2024","3,360","2,107"
"Wednesday, April 24, 2024","3,339","1,398"
"Saturday, April 20, 2024","3,008","1,955"
"Friday, April 19, 2024","2,647","1,731"
"Wednesday, April 17, 2024","3,539","1,368"
"Saturday, April 13, 2024","2,888","1,814"
"Friday, April 12, 2024","2,683","1,726"
"Wednesday, April 10, 2024","3,222","1,325"
"Saturday, April 6, 2024","2,444","1,865"
"Friday, April 5, 2024","2,954","2,043"
"Wednesday, April 3, 2024","3,031","1,448"
"Saturday, March 30, 2024","2,725","1,738"
"Friday, March 29, 2024","3,120","1,917"
"Wednesday, March 27, 2024","3,086","1,338"
"Saturday, March 23, 2024","2,550","1,879"
"Friday, March 22, 2024","3,173","1,743"
"Wednesday, March 20, 2024","3,751","1,612"
"Saturday, March 16, 2024","2,532","1,998"
"Friday, March 15, 2024","2,530","1,527"
"Wednesday, March 13, 2024","2,501","1,365"
"Saturday, March 9, 2024","1,447","1,100"
"Friday, March 8, 2024","2,481","1,380"
"Wednesday, March 6, 2024","3,247","1,234"
"Saturday, March 2, 2024","1,880","1,305"
"Friday, March 1, 2024","2,405","1,464"
"Wednesday, February 28, 2024","2,784",971
"Saturday, February 24, 2024","1,806","1,377"
"Friday, February 23, 2024","2,602","1,474"
"Wednesday, February 21, 2024","2,939","1,038"
"Saturday, February 17, 2024","1,616","1,337"
"Friday, February 16, 2024","2,360","1,482"
"Wednesday, February 14, 2024","3,171","1,429"
"Saturday, February 10, 2024","2,042","1,539"
"Friday, February 9, 2024","2,498","1,446"
"Wednesday, February 7, 2024","3,265",888
"Saturday, February 3, 2024","1,760","1,212"
"Friday, February 2, 2024","2,857","1,857"
"Wednesday, January 31, 2024","3,190","1,165"
"Saturday, January 27, 2024","2,205","1,330"
"Friday, January 26, 2024","2,679","1,493"
"Wednesday, January 24, 2024","2,780","1,002"
"Saturday, January 20, 2024","1,426","1,101"
"Friday, January 19, 2024","2,067","1,303"
"Wednesday, January 17, 2024","2,604",918
"Saturday, January 13, 2024","1,967","2,080"
"Friday, January 12, 2024","2,130","1,908"
"Wednesday, January 10, 2024","1,744",823
"Saturday, January 6, 2024",811,557
"Friday, January 5, 2024","1,291",706
"Wednesday, January 3, 2024","1,351",542
"Saturday, December 30, 2023","1,086",707
"Friday, December 29, 2023","1,193",688
"Wednesday, December 27, 2023",734,416
"Saturday, December 23, 2023",951,446
"Friday, December 22, 2023","1,259",550
"Wednesday, December 20, 2023","1,553",801
"Saturday, December 16, 2023","1,820","1,359"
"Friday, December 15, 2023","2,298","1,455"
"Wednesday, December 13, 2023","2,516","1,188"
"Saturday, December 9, 2023","2,046","1,400"
"Friday, December 8, 2023","2,712","1,793"
"Wednesday, December 6, 2023","2,883","1,185"
"Saturday, December 2, 2023","2,086","1,947"
"Friday, December 1, 2023","2,499","1,580"
"Wednesday, November 29, 2023","2,684",995
"Saturday, November 25, 2023","1,122","1,261"
"Friday, November 24, 2023","1,170",930
"Wednesday, November 22, 2023","1,152",607
"Saturday, November 18, 2023","1,552","1,053"
"Friday, November 17, 2023","2,558","1,418"
"Wednesday, November 15, 2023","3,100","1,257"
"Saturday, November 11, 2023","2,219","1,615"
"Friday, November 10, 2023","2,509","1,591"
"Wednesday, November 8, 2023","3,074","1,176"
"Saturday, November 4, 2023","2,634","1,910"
"Friday, November 3, 2023","2,661","1,615"
"Wednesday, November 1, 2023","3,083","1,208"
"Saturday, October 28, 2023","2,219","1,691"
"Friday, October 27, 2023","2,485","1,721"
"Wednesday, October 25, 2023","3,214","1,252"
"Saturday, October 21, 2023","2,401","1,716"
"Friday, October 20, 2023","2,466","1,625"
"Wednesday, October 18, 2023","3,413","1,149"
"Saturday, October 14, 2023","1,500","1,170"
"Friday, October 13, 2023","2,233","1,453"
"Wednesday, October 11, 2023","3,407","1,157"
"Saturday, October 7, 2023","2,081","1,749"
"Friday, October 6, 2023","2,698","1,648"
"Wednesday, October 4, 2023","3,112","1,088"
"Saturday, September 30, 2023","2,469","2,193"
"Friday, September 29, 2023","3,200","2,245"
"Wednesday, September 27, 2023","3,559","1,269"
"Saturday, September 23, 2023","1,438","1,193"
"Friday, September 22, 2023","2,651","1,602"
"Wednesday, September 20, 2023","3,703","1,272"
"Saturday, September 16, 2023","2,520","1,666"
"Friday, September 15, 2023","2,912","1,666"
"Wednesday, September 13, 2023","3,530","1,131"
"Saturday, September 9, 2023","1,531","1,293"
"Friday, September 8, 2023","2,640","1,943"
"Wednesday, September 6, 2023","2,281","1,071"
"Saturday, September 2, 2023","2,345","1,734"
"Friday, September 1, 2023","2,518","1,648"
"Wednesday, August 30, 2023","3,286","1,081"
"Saturday, August 26, 2023","2,024","1,587"
"Friday, August 25, 2023","2,345","1,422"
"Wednesday, August 23, 2023","2,300","1,278"
"Saturday, August 19, 2023","2,100","1,390"
"Friday, August 18, 2023","2,503","1,493"
"Wednesday, August 16, 2023","2,230","1,275"
"Saturday, August 12, 2023","1,803","1,259"
"Friday, August 11, 2023","2,082","1,242"
"Wednesday, August 9, 2023","2,086",989
"Saturday, August 5, 2023","1,955","1,332"
"Friday, August 4, 2023","2,322","1,558"
"Wednesday, August 2, 2023","2,364","1,305"
"Saturday, July 29, 2023","1,890","1,499"
"Friday, July 28, 2023","2,328","1,620"
"Wednesday, July 26, 2023","2,776","1,763"
"Saturday, July 22, 2023","2,239","1,799"
"Friday, July 21, 2023","2,637","2,111"
"Wednesday, July 19, 2023","2,400","1,691"
"Saturday, July 15, 2023","1,980","1,516"
"Friday, July 14, 2023","2,192","1,491"
