Day,Entries,Exits
"Saturday, February 22, 2025",378,124
"Friday, February 21, 2025",414,77
"Wednesday, February 19, 2025",40,42
"Saturday, February 15, 2025",462,92
"Friday, February 14, 2025",439,156
"Wednesday, February 12, 2025",28,27
"Saturday, February 8, 2025",317,88
"Friday, February 7, 2025",419,116
"Wednesday, February 5, 2025",17,15
"Saturday, February 1, 2025",395,115
"Friday, January 31, 2025",351,87
"Wednesday, January 29, 2025",10,18
"Saturday, January 25, 2025",359,138
"Friday, January 24, 2025",269,76
"Wednesday, January 22, 2025",44,38
"Saturday, January 18, 2025",527,188
"Friday, January 17, 2025",345,103
"Wednesday, January 15, 2025",54,59
"Saturday, January 11, 2025",235,78
"Friday, January 10, 2025",336,115
"Wednesday, January 8, 2025",28,29
"Saturday, January 4, 2025",181,65
"Friday, January 3, 2025",244,52
"Wednesday, January 1, 2025",8,10
"Saturday, December 28, 2024",274,61
"Friday, December 27, 2024",166,52
"Wednesday, December 25, 2024",4,12
"Saturday, December 21, 2024",239,86
"Friday, December 20, 2024",363,81
"Wednesday, December 18, 2024",25,35
"Saturday, December 14, 2024",502,164
"Friday, December 13, 2024",367,100
"Wednesday, December 11, 2024",29,34
"Saturday, December 7, 2024",408,95
"Friday, December 6, 2024",369,81
"Wednesday, December 4, 2024",21,34
"Saturday, November 30, 2024",176,87
"Friday, November 29, 2024",123,30
"Wednesday, November 27, 2024",10,15
"Saturday, November 23, 2024",374,104
"Friday, November 22, 2024",386,78
"Wednesday, November 20, 2024",64,56
"Saturday, November 16, 2024",263,93
"Friday, November 15, 2024",289,77
"Wednesday, November 13, 2024",29,54
"Saturday, November 9, 2024",233,107
"Friday, November 8, 2024",435,116
"Wednesday, November 6, 2024",15,21
"Saturday, November 2, 2024",302,110
"Friday, November 1, 2024",323,119
"Wednesday, October 30, 2024",48,45
"Saturday, October 26, 2024",347,184
"Friday, October 25, 2024",333,83
"Wednesday, October 23, 2024",26,31
"Saturday, October 19, 2024",950,178
"Friday, October 18, 2024",364,243
"Wednesday, October 16, 2024",19,23
"Saturday, October 12, 2024",350,104
"Friday, October 11, 2024",318,143
"Wednesday, October 9, 2024",123,47
"Saturday, October 5, 2024",253,150
"Friday, October 4, 2024",401,98
"Wednesday, October 2, 2024",36,46
"Saturday, September 28, 2024",680,162
"Friday, September 27, 2024",313,87
"Wednesday, September 25, 2024",35,26
"Saturday, September 21, 2024",247,124
"Friday, September 20, 2024",377,143
"Wednesday, September 18, 2024",44,40
"Saturday, September 14, 2024",328,120
"Friday, September 13, 2024",311,95
"Wednesday, September 11, 2024",15,18
"Saturday, September 7, 2024",262,169
"Friday, September 6, 2024",269,89
"Wednesday, September 4, 2024",28,33
"Saturday, August 31, 2024",258,90
"Friday, August 30, 2024",266,103
"Wednesday, August 28, 2024",15,30
"Saturday, August 24, 2024",259,73
"Friday, August 23, 2024",354,78
"Wednesday, August 21, 2024",23,19
"Saturday, August 17, 2024",433,107
"Friday, August 16, 2024",376,78
"Wednesday, August 14, 2024",23,36
"Saturday, August 10, 2024",240,74
"Friday, August 9, 2024",224,98
"Wednesday, August 7, 2024",22,30
"Saturday, August 3, 2024",288,67
"Friday, August 2, 2024",294,90
"Wednesday, July 31, 2024",17,18
"Saturday, July 27, 2024",375,194
"Friday, July 26, 2024",302,105
"Wednesday, July 24, 2024",49,57
"Saturday, July 20, 2024",306,126
"Friday, July 19, 2024",328,190
"Wednesday, July 17, 2024",37,35
"Saturday, July 13, 2024",271,90
"Friday, July 12, 2024",305,70
"Wednesday, July 10, 2024",12,17
"Saturday, July 6, 2024",229,79
"Friday, July 5, 2024",191,86
"Wednesday, July 3, 2024",55,55
"Saturday, June 29, 2024",278,108
"Friday, June 28, 2024",266,91
"Wednesday, June 26, 2024",20,22
"Saturday, June 22, 2024",472,113
"Friday, June 21, 2024",200,79
"Wednesday, June 19, 2024",17,22
"Saturday, June 15, 2024",278,115
"Friday, June 14, 2024",307,124
"Wednesday, June 12, 2024",59,43
"Saturday, June 8, 2024",370,155
"Friday, June 7, 2024",353,149
"Wednesday, June 5, 2024",30,25
"Saturday, June 1, 2024",230,100
"Friday, May 31, 2024",240,94
"Wednesday, May 29, 2024",26,24
"Saturday, May 25, 2024",238,71
"Friday, May 24, 2024",236,92
"Wednesday, May 22, 2024",33,43
"Saturday, May 18, 2024",286,83
"Friday, May 17, 2024",275,70
"Wednesday, May 15, 2024",27,34
"Saturday, May 11, 2024",226,72
"Friday, May 10, 2024",225,75
"Wednesday, May 8, 2024",24,27
"Saturday, May 4, 2024",229,84
"Friday, May 3, 2024",284,91
"Wednesday, May 1, 2024",25,28
"Saturday, April 27, 2024",284,138
"Friday, April 26, 2024",323,66
"Wednesday, April 24, 2024",9,17
"Saturday, April 20, 2024",267,126
"Friday, April 19, 2024",255,98
"Wednesday, April 17, 2024",11,18
"Saturday, April 13, 2024",367,123
"Friday, April 12, 2024",336,81
"Wednesday, April 10, 2024",79,57
"Saturday, April 6, 2024",258,87
"Friday, April 5, 2024",338,91
"Wednesday, April 3, 2024",63,75
"Saturday, March 30, 2024",299,86
"Friday, March 29, 2024",371,125
"Wednesday, March 27, 2024",63,79
"Saturday, March 23, 2024",331,76
"Friday, March 22, 2024",415,102
"Wednesday, March 20, 2024",42,39
"Saturday, March 16, 2024",393,143
"Friday, March 15, 2024","1,743",109
"Wednesday, March 13, 2024",52,49
"Saturday, March 9, 2024",243,57
"Friday, March 8, 2024",322,74
"Wednesday, March 6, 2024",39,43
"Saturday, March 2, 2024",295,112
"Friday, March 1, 2024",334,69
"Wednesday, February 28, 2024",61,51
"Saturday, February 24, 2024",268,81
"Friday, February 23, 2024",235,57
"Wednesday, February 21, 2024",114,130
"Saturday, February 17, 2024",286,113
"Friday, February 16, 2024",253,87
"Wednesday, February 14, 2024",105,129
"Saturday, February 10, 2024",303,102
"Friday, February 9, 2024",254,72
"Wednesday, February 7, 2024",56,51
"Saturday, February 3, 2024",275,117
"Friday, February 2, 2024",568,213
"Wednesday, January 31, 2024",54,57
"Saturday, January 27, 2024",335,89
"Friday, January 26, 2024",274,79
"Wednesday, January 24, 2024",38,36
"Saturday, January 20, 2024",316,97
"Friday, January 19, 2024",238,61
"Wednesday, January 17, 2024",48,49
"Saturday, January 13, 2024",215,79
"Friday, January 12, 2024",194,81
"Wednesday, January 10, 2024",17,34
"Saturday, January 6, 2024",230,86
"Friday, January 5, 2024",244,77
"Wednesday, January 3, 2024",22,21
"Saturday, December 30, 2023",217,79
"Friday, December 29, 2023",269,135
"Wednesday, December 27, 2023",76,69
"Saturday, December 23, 2023",229,149
"Friday, December 22, 2023",163,84
"Wednesday, December 20, 2023",78,86
"Saturday, December 16, 2023",268,122
"Friday, December 15, 2023",470,129
"Wednesday, December 13, 2023",46,34
"Saturday, December 9, 2023",386,118
"Friday, December 8, 2023",338,75
"Wednesday, December 6, 2023",56,53
"Saturday, December 2, 2023",329,125
"Friday, December 1, 2023",382,90
"Wednesday, November 29, 2023",49,50
"Saturday, November 25, 2023",193,78
"Friday, November 24, 2023",163,60
"Wednesday, November 22, 2023",50,24
"Saturday, November 18, 2023",413,135
"Friday, November 17, 2023",396,102
"Wednesday, November 15, 2023",64,51
"Saturday, November 11, 2023",374,104
"Friday, November 10, 2023",312,96
"Wednesday, November 8, 2023",74,76
"Saturday, November 4, 2023",328,119
"Friday, November 3, 2023",247,100
"Wednesday, November 1, 2023",39,49
"Saturday, October 28, 2023",394,184
"Friday, October 27, 2023",447,117
"Wednesday, October 25, 2023",46,59
"Saturday, October 21, 2023","1,022",184
"Friday, October 20, 2023",442,112
"Wednesday, October 18, 2023",105,104
"Saturday, October 14, 2023",446,101
"Friday, October 13, 2023",450,119
"Wednesday, October 11, 2023",57,50
"Saturday, October 7, 2023",308,81
"Friday, October 6, 2023",295,128
"Wednesday, October 4, 2023",30,39
"Saturday, September 30, 2023",610,194
"Friday, September 29, 2023",453,104
"Wednesday, September 27, 2023",68,67
"Saturday, September 23, 2023",327,83
"Friday, September 22, 2023",309,131
"Wednesday, September 20, 2023",46,33
"Saturday, September 16, 2023",267,129
"Friday, September 15, 2023",306,116
"Wednesday, September 13, 2023",55,65
"Saturday, September 9, 2023",251,105
"Friday, September 8, 2023",292,125
"Wednesday, September 6, 2023",90,94
"Saturday, September 2, 2023",294,123
"Friday, September 1, 2023",334,99
"Wednesday, August 30, 2023",53,98
"Saturday, August 26, 2023",189,103
"Friday, August 25, 2023",203,95
