Day,Entries,Exits
"Saturday, February 22, 2025","4,453","2,228"
"Friday, February 21, 2025","6,952","2,424"
"Wednesday, February 19, 2025","4,080","1,092"
"Saturday, February 15, 2025","6,597","2,460"
"Friday, February 14, 2025","6,654","3,367"
"Wednesday, February 12, 2025","4,349","1,193"
"Saturday, February 8, 2025","6,485","2,181"
"Friday, February 7, 2025","7,635","2,655"
"Wednesday, February 5, 2025","3,209","1,070"
"Saturday, February 1, 2025","8,607","2,265"
"Friday, January 31, 2025","4,880","2,025"
"Wednesday, January 29, 2025","6,220","1,617"
"Saturday, January 25, 2025","4,991","2,041"
"Friday, January 24, 2025","4,765","2,218"
"Wednesday, January 22, 2025","2,564","1,001"
"Saturday, January 18, 2025","9,560","2,181"
"Friday, January 17, 2025","4,180","2,351"
"Wednesday, January 15, 2025","3,095","1,090"
"Saturday, January 11, 2025","2,943","1,373"
"Friday, January 10, 2025","8,011","2,427"
"Wednesday, January 8, 2025","7,811","3,329"
"Saturday, January 4, 2025","2,573","1,238"
"Friday, January 3, 2025","3,509","1,939"
"Wednesday, January 1, 2025","4,266",950
"Saturday, December 28, 2024","5,630","1,573"
"Friday, December 27, 2024","3,123","1,265"
"Wednesday, December 25, 2024",847,380
"Saturday, December 21, 2024","3,879","1,521"
"Friday, December 20, 2024","9,026","2,229"
"Wednesday, December 18, 2024","4,935","1,259"
"Saturday, December 14, 2024","8,808","3,998"
"Friday, December 13, 2024","5,933","2,551"
"Wednesday, December 11, 2024","5,065","1,312"
"Saturday, December 7, 2024","9,005","2,892"
"Friday, December 6, 2024","5,107","2,237"
"Wednesday, December 4, 2024","4,148","1,280"
"Saturday, November 30, 2024","3,558","1,317"
"Friday, November 29, 2024","3,436","1,134"
"Wednesday, November 27, 2024","5,362","1,527"
"Saturday, November 23, 2024","8,371","2,543"
"Friday, November 22, 2024","7,508","2,437"
"Wednesday, November 20, 2024","3,764","1,315"
"Saturday, November 16, 2024","2,869","1,646"
"Friday, November 15, 2024","3,222","1,688"
"Wednesday, November 13, 2024","7,394","3,276"
"Saturday, November 9, 2024","3,084","1,707"
"Friday, November 8, 2024","7,913","2,996"
"Wednesday, November 6, 2024","6,353","1,473"
"Saturday, November 2, 2024","8,009","1,874"
"Friday, November 1, 2024","3,290","1,910"
"Wednesday, October 30, 2024","5,589","1,597"
"Saturday, October 26, 2024","6,065","2,353"
"Friday, October 25, 2024","3,485","1,925"
"Wednesday, October 23, 2024","7,766","3,190"
"Saturday, October 19, 2024","3,770","2,918"
"Friday, October 18, 2024","6,073","2,767"
"Wednesday, October 16, 2024","3,331","1,234"
"Saturday, October 12, 2024","8,371","2,347"
"Friday, October 11, 2024","4,921","2,197"
"Wednesday, October 9, 2024","3,986","2,293"
"Saturday, October 5, 2024","5,939","1,961"
"Friday, October 4, 2024","4,929","2,847"
"Wednesday, October 2, 2024","3,424","1,118"
"Saturday, September 28, 2024","7,034","3,949"
"Friday, September 27, 2024","5,374","2,482"
"Wednesday, September 25, 2024","6,063","2,745"
"Saturday, September 21, 2024","5,500","2,705"
"Friday, September 20, 2024","4,297","2,770"
"Wednesday, September 18, 2024","3,366","1,095"
"Saturday, September 14, 2024","3,953","1,980"
"Friday, September 13, 2024","4,065","2,004"
"Wednesday, September 11, 2024","4,096","1,364"
"Saturday, September 7, 2024","2,676","1,988"
"Friday, September 6, 2024","2,893","1,583"
"Wednesday, September 4, 2024","2,698","1,043"
"Saturday, August 31, 2024","3,409","2,043"
"Friday, August 30, 2024","2,586","1,761"
"Wednesday, August 28, 2024","2,576","1,186"
"Saturday, August 24, 2024","3,302","1,505"
"Friday, August 23, 2024","5,897","3,030"
"Wednesday, August 21, 2024","4,507","2,497"
"Saturday, August 17, 2024","4,266","2,495"
"Friday, August 16, 2024","3,976","2,217"
"Wednesday, August 14, 2024","3,179","1,194"
"Saturday, August 10, 2024","2,316","1,784"
"Friday, August 9, 2024","2,473","1,570"
"Wednesday, August 7, 2024","2,731","1,122"
"Saturday, August 3, 2024","3,197","1,345"
"Friday, August 2, 2024","6,916","2,559"
"Wednesday, July 31, 2024","3,011","1,108"
"Saturday, July 27, 2024","7,395","2,934"
"Friday, July 26, 2024","3,449","1,856"
"Wednesday, July 24, 2024","3,196","1,503"
"Saturday, July 20, 2024","6,752","3,219"
"Friday, July 19, 2024","4,565","2,576"
"Wednesday, July 17, 2024","3,197","1,125"
"Saturday, July 13, 2024","2,832","1,864"
"Friday, July 12, 2024","5,595","3,188"
"Wednesday, July 10, 2024","3,715","1,523"
"Saturday, July 6, 2024","2,503","1,623"
"Friday, July 5, 2024","2,839","1,734"
"Wednesday, July 3, 2024","4,399","2,522"
"Saturday, June 29, 2024","2,620","1,670"
"Friday, June 28, 2024","3,503","1,686"
"Wednesday, June 26, 2024","4,607","1,493"
"Saturday, June 22, 2024","3,838","2,181"
"Friday, June 21, 2024","3,324","1,625"
"Wednesday, June 19, 2024","2,293","1,179"
"Saturday, June 15, 2024","2,932","1,917"
"Friday, June 14, 2024","4,334","2,204"
"Wednesday, June 12, 2024","5,061","2,741"
"Saturday, June 8, 2024","7,915","2,944"
"Friday, June 7, 2024","8,364","3,792"
"Wednesday, June 5, 2024","3,241","1,204"
"Saturday, June 1, 2024","2,540","1,496"
"Friday, May 31, 2024","3,433","1,509"
"Wednesday, May 29, 2024","2,891","1,040"
"Saturday, May 25, 2024","4,391","2,576"
"Friday, May 24, 2024","2,746","1,801"
"Wednesday, May 22, 2024","3,059","1,153"
"Saturday, May 18, 2024","2,996","1,571"
"Friday, May 17, 2024","3,232","1,638"
"Wednesday, May 15, 2024","3,388","1,248"
"Saturday, May 11, 2024","2,744","1,353"
"Friday, May 10, 2024","2,917","1,525"
"Wednesday, May 8, 2024","3,341","1,384"
"Saturday, May 4, 2024","2,878","1,609"
"Friday, May 3, 2024","3,237","2,084"
"Wednesday, May 1, 2024","3,280","1,134"
"Saturday, April 27, 2024","2,919","1,638"
"Friday, April 26, 2024","8,162","2,310"
"Wednesday, April 24, 2024","3,217","1,371"
"Saturday, April 20, 2024","4,460","2,218"
"Friday, April 19, 2024","2,938","1,690"
"Wednesday, April 17, 2024","3,130","1,081"
"Saturday, April 13, 2024","8,036","2,121"
"Friday, April 12, 2024","7,241","2,639"
"Wednesday, April 10, 2024","3,403","1,142"
"Saturday, April 6, 2024","3,308","2,130"
"Friday, April 5, 2024","6,729","2,866"
"Wednesday, April 3, 2024","7,145","1,727"
"Saturday, March 30, 2024","8,216","2,329"
"Friday, March 29, 2024","6,892","2,551"
"Wednesday, March 27, 2024","6,105","1,508"
"Saturday, March 23, 2024","6,471","3,121"
"Friday, March 22, 2024","8,730","2,283"
"Wednesday, March 20, 2024","8,790","3,072"
"Saturday, March 16, 2024","7,524","4,312"
"Friday, March 15, 2024","6,140","2,521"
"Wednesday, March 13, 2024","6,675","1,890"
"Saturday, March 9, 2024","7,451","1,742"
"Friday, March 8, 2024","6,369","2,362"
"Wednesday, March 6, 2024","6,145","1,457"
"Saturday, March 2, 2024","4,003","1,900"
"Friday, March 1, 2024","7,816","2,231"
"Wednesday, February 28, 2024","2,856",869
"Saturday, February 24, 2024","2,731","1,418"
"Friday, February 23, 2024","2,914","1,469"
"Wednesday, February 21, 2024","3,508","1,068"
"Saturday, February 17, 2024","3,108","1,428"
"Friday, February 16, 2024","4,281","1,629"
"Wednesday, February 14, 2024","2,960","1,247"
"Saturday, February 10, 2024","5,832","2,093"
"Friday, February 9, 2024","4,088","2,288"
"Wednesday, February 7, 2024","5,208","1,331"
"Saturday, February 3, 2024","2,547","1,361"
"Friday, February 2, 2024","6,737","2,557"
"Wednesday, January 31, 2024","5,882","1,486"
"Saturday, January 27, 2024","5,276","1,631"
"Friday, January 26, 2024","3,260","1,547"
"Wednesday, January 24, 2024","5,873","1,439"
"Saturday, January 20, 2024","5,844","1,800"
"Friday, January 19, 2024","2,663","1,481"
"Wednesday, January 17, 2024","2,523",885
"Saturday, January 13, 2024","3,222","1,351"
"Friday, January 12, 2024","2,497","1,165"
"Wednesday, January 10, 2024","2,770",941
"Saturday, January 6, 2024","5,286","1,521"
"Friday, January 5, 2024","6,846","1,733"
"Wednesday, January 3, 2024","5,769","2,013"
"Saturday, December 30, 2023","5,614","1,285"
"Friday, December 29, 2023","4,755","1,847"
"Wednesday, December 27, 2023","3,728","1,225"
"Saturday, December 23, 2023","4,010","1,118"
"Friday, December 22, 2023","2,273","1,124"
"Wednesday, December 20, 2023","5,923","2,038"
"Saturday, December 16, 2023","3,829","1,664"
"Friday, December 15, 2023","6,994","2,333"
"Wednesday, December 13, 2023","6,766","1,552"
"Saturday, December 9, 2023","8,089","2,195"
"Friday, December 8, 2023","4,196","1,812"
"Wednesday, December 6, 2023","6,600","1,704"
"Saturday, December 2, 2023","5,328","2,257"
"Friday, December 1, 2023","3,873","1,840"
"Wednesday, November 29, 2023","3,235","1,238"
"Saturday, November 25, 2023","5,380","1,635"
"Friday, November 24, 2023","2,815","1,034"
"Wednesday, November 22, 2023","6,320","1,379"
"Saturday, November 18, 2023","7,689","2,839"
"Friday, November 17, 2023","7,343","2,770"
"Wednesday, November 15, 2023","6,911","1,926"
"Saturday, November 11, 2023","4,234","2,016"
"Friday, November 10, 2023","6,440","2,214"
"Wednesday, November 8, 2023","6,875","2,450"
"Saturday, November 4, 2023","7,588","2,240"
"Friday, November 3, 2023","3,412","1,608"
"Wednesday, November 1, 2023","5,333","2,329"
"Saturday, October 28, 2023","5,790","2,055"
"Friday, October 27, 2023","6,570","2,277"
"Wednesday, October 25, 2023","3,271","1,099"
"Saturday, October 21, 2023","4,210","2,909"
"Friday, October 20, 2023","5,064","2,900"
"Wednesday, October 18, 2023","2,989","1,084"
"Saturday, October 14, 2023","5,637","2,102"
"Friday, October 13, 2023","7,548","3,018"
"Wednesday, October 11, 2023","3,337","1,071"
"Saturday, October 7, 2023","5,135","1,978"
"Friday, October 6, 2023","2,935","1,564"
"Wednesday, October 4, 2023","3,119","1,092"
"Saturday, September 30, 2023","5,257","2,657"
"Friday, September 29, 2023","5,062","2,791"
"Wednesday, September 27, 2023","3,420","1,203"
"Saturday, September 23, 2023","6,415","2,178"
"Friday, September 22, 2023","3,149","1,933"
"Wednesday, September 20, 2023","5,159","2,109"
"Saturday, September 16, 2023","3,968","1,941"
"Friday, September 15, 2023","3,116","1,805"
"Wednesday, September 13, 2023","5,295","1,765"
"Saturday, September 9, 2023","2,393","1,443"
"Friday, September 8, 2023","2,942","1,896"
"Wednesday, September 6, 2023","2,575","1,147"
"Saturday, September 2, 2023","2,687","1,725"
"Friday, September 1, 2023","2,859","2,059"
"Wednesday, August 30, 2023","2,665","1,031"
"Saturday, August 26, 2023","2,205","1,504"
"Friday, August 25, 2023","2,347","1,351"
"Wednesday, August 23, 2023","2,594","1,031"
"Saturday, August 19, 2023","2,302","1,725"
"Friday, August 18, 2023","4,886","2,527"
"Wednesday, August 16, 2023","2,561","1,345"
"Saturday, August 12, 2023","2,798","1,770"
"Friday, August 11, 2023","3,011","1,960"
"Wednesday, August 9, 2023","2,849","1,113"
"Saturday, August 5, 2023","2,781","1,550"
"Friday, August 4, 2023","5,763","3,332"
"Wednesday, August 2, 2023","3,309","1,241"
"Saturday, July 29, 2023","5,401","2,872"
"Friday, July 28, 2023","5,848","2,943"
"Wednesday, July 26, 2023","3,395","1,386"
"Saturday, July 22, 2023","3,425","2,072"
"Friday, July 21, 2023","3,783","2,215"
"Wednesday, July 19, 2023","3,237","1,527"
"Saturday, July 15, 2023","2,801","1,603"
"Friday, July 14, 2023","3,044","1,570"
"Wednesday, July 12, 2023","3,045","1,200"
"Saturday, July 8, 2023","2,571","1,827"
"Friday, July 7, 2023","4,828","3,054"
"Wednesday, July 5, 2023","2,673","1,250"
"Saturday, July 1, 2023","3,073","1,725"
"Friday, June 30, 2023","2,767","1,518"
"Wednesday, June 28, 2023","3,204","1,196"
"Saturday, June 24, 2023","3,540","1,982"
"Friday, June 23, 2023","2,983","1,629"
"Wednesday, June 21, 2023","3,052","1,105"
"Saturday, June 17, 2023","3,520","1,891"
"Friday, June 16, 2023","3,241","1,691"
"Wednesday, June 14, 2023","4,921","1,832"
"Saturday, June 10, 2023","3,231","2,150"
"Friday, June 9, 2023","4,634","2,570"
"Wednesday, June 7, 2023","3,441","1,386"
"Saturday, June 3, 2023","2,716","1,692"
"Friday, June 2, 2023","6,841","3,378"
"Wednesday, May 31, 2023","2,781","1,132"
"Saturday, May 27, 2023","2,886","1,542"
"Friday, May 26, 2023","3,310","1,696"
"Wednesday, May 24, 2023","3,301","1,357"
"Saturday, May 20, 2023","3,847","2,310"
"Friday, May 19, 2023","3,848","1,802"
"Wednesday, May 17, 2023","3,197","1,139"
"Saturday, May 13, 2023","2,607","1,550"
"Friday, May 12, 2023","3,087","1,933"
"Wednesday, May 10, 2023","3,215","1,158"
"Saturday, May 6, 2023","2,773","1,520"
"Friday, May 5, 2023","2,933","1,806"
"Wednesday, May 3, 2023","2,723","1,187"
"Saturday, April 29, 2023","2,970","1,921"
"Friday, April 28, 2023","2,551","1,208"
"Wednesday, April 26, 2023","2,912","1,036"
"Saturday, April 22, 2023","2,440","1,482"
"Friday, April 21, 2023","4,759","2,989"
"Wednesday, April 19, 2023","3,147","1,264"
"Saturday, April 15, 2023","3,798","2,337"
"Friday, April 14, 2023","3,107","1,783"
"Wednesday, April 12, 2023","3,136","1,167"
"Saturday, April 8, 2023","6,426","2,275"
"Friday, April 7, 2023","6,227","2,218"
"Wednesday, April 5, 2023","3,120","1,212"
"Saturday, April 1, 2023","4,275","2,412"
"Friday, March 31, 2023","6,143","2,341"
"Wednesday, March 29, 2023","6,452","2,311"
"Saturday, March 25, 2023","4,197","1,898"
"Friday, March 24, 2023","5,768","2,026"
"Wednesday, March 22, 2023","5,866","1,520"
"Saturday, March 18, 2023","5,889","3,016"
"Friday, March 17, 2023","6,437","2,023"
"Wednesday, March 15, 2023","5,914","1,598"
"Saturday, March 11, 2023","3,972","2,035"
"Friday, March 10, 2023","5,386","1,793"
"Wednesday, March 8, 2023","4,582","1,529"
"Saturday, March 4, 2023","4,774","1,473"
"Friday, March 3, 2023","4,709","2,214"
"Wednesday, March 1, 2023","4,296","1,589"
"Saturday, February 25, 2023","2,483","1,359"
"Friday, February 24, 2023","5,478","1,874"
"Wednesday, February 22, 2023","2,463","1,118"
"Saturday, February 18, 2023","3,014","1,612"
"Friday, February 17, 2023","2,852","1,622"
"Wednesday, February 15, 2023","4,076","1,430"
"Saturday, February 11, 2023","5,307","1,906"
"Friday, February 10, 2023","2,498","1,456"
"Wednesday, February 8, 2023","4,780","1,140"
"Saturday, February 4, 2023","2,486","1,276"
"Friday, February 3, 2023","5,259","1,983"
"Wednesday, February 1, 2023","2,262",642
"Saturday, January 28, 2023","4,326","1,562"
"Friday, January 27, 2023","2,981","1,503"
"Wednesday, January 25, 2023","2,461",891
"Saturday, January 21, 2023","5,511","1,943"
"Friday, January 20, 2023","3,222","1,654"
"Wednesday, January 18, 2023","2,554",974
"Saturday, January 14, 2023","5,561","1,398"
"Friday, January 13, 2023","5,542","1,800"
"Wednesday, January 11, 2023","4,911","1,307"
"Saturday, January 7, 2023","2,492","1,587"
"Friday, January 6, 2023","5,742","1,627"
"Wednesday, January 4, 2023","2,590",718
