Day,Entries,Exits
"Saturday, February 22, 2025",106,143
"Friday, February 21, 2025",56,98
"Wednesday, February 19, 2025",15,15
"Saturday, February 15, 2025",86,142
"Friday, February 14, 2025",93,107
"Wednesday, February 12, 2025",18,17
"Saturday, February 8, 2025",69,99
"Friday, February 7, 2025",79,131
"Wednesday, February 5, 2025",12,17
"Saturday, February 1, 2025",74,112
"Friday, January 31, 2025",76,113
"Wednesday, January 29, 2025",11,20
"Saturday, January 25, 2025",86,140
"Friday, January 24, 2025",70,81
"Wednesday, January 22, 2025",11,14
"Saturday, January 18, 2025",179,184
"Friday, January 17, 2025",45,110
"Wednesday, January 15, 2025",10,14
"Saturday, January 11, 2025",77,111
"Friday, January 10, 2025",76,144
"Wednesday, January 8, 2025",6,22
"Saturday, January 4, 2025",58,78
"Friday, January 3, 2025",45,64
"Saturday, December 28, 2024",42,46
"Friday, December 27, 2024",34,48
"Saturday, December 21, 2024",59,89
"Friday, December 20, 2024",71,90
"Wednesday, December 18, 2024",5,17
"Saturday, December 14, 2024",128,130
"Friday, December 13, 2024",131,135
"Wednesday, December 11, 2024",3,8
"Saturday, December 7, 2024",160,158
"Friday, December 6, 2024",88,105
"Wednesday, December 4, 2024",9,12
"Saturday, November 30, 2024",42,51
"Friday, November 29, 2024",21,40
"Wednesday, November 27, 2024",6,14
"Saturday, November 23, 2024",65,105
"Friday, November 22, 2024",64,109
"Wednesday, November 20, 2024",8,20
"Saturday, November 16, 2024",105,137
"Friday, November 15, 2024",104,91
"Wednesday, November 13, 2024",5,6
"Saturday, November 9, 2024",80,141
"Friday, November 8, 2024",126,124
"Wednesday, November 6, 2024",12,15
"Saturday, November 2, 2024",187,142
"Friday, November 1, 2024",87,117
"Wednesday, October 30, 2024",15,22
"Saturday, October 26, 2024",138,187
"Friday, October 25, 2024",140,169
"Wednesday, October 23, 2024",15,14
"Saturday, October 19, 2024",156,169
"Friday, October 18, 2024",128,110
"Wednesday, October 16, 2024",23,60
"Saturday, October 12, 2024",156,117
"Friday, October 11, 2024",92,115
"Wednesday, October 9, 2024",11,18
"Saturday, October 5, 2024",183,95
"Friday, October 4, 2024",79,88
"Wednesday, October 2, 2024",10,12
"Saturday, September 28, 2024",250,179
"Friday, September 27, 2024",314,129
"Wednesday, September 25, 2024",12,20
"Saturday, September 21, 2024",273,161
"Friday, September 20, 2024",147,121
"Wednesday, September 18, 2024",10,17
"Saturday, September 14, 2024",335,151
"Friday, September 13, 2024",295,129
"Wednesday, September 11, 2024",6,9
"Saturday, September 7, 2024",818,115
"Friday, September 6, 2024",144,115
"Wednesday, September 4, 2024",16,13
"Saturday, August 31, 2024",76,88
"Friday, August 30, 2024",556,106
"Wednesday, August 28, 2024",13,13
"Saturday, August 24, 2024",265,136
"Friday, August 23, 2024",97,100
"Wednesday, August 21, 2024",13,17
"Saturday, August 17, 2024",146,131
"Friday, August 16, 2024",120,85
"Wednesday, August 14, 2024",14,14
"Saturday, August 10, 2024",331,89
"Friday, August 9, 2024",379,100
"Wednesday, August 7, 2024",13,18
"Saturday, August 3, 2024",98,81
"Friday, August 2, 2024",239,86
"Wednesday, July 31, 2024",4,10
"Saturday, July 27, 2024",533,189
"Friday, July 26, 2024",126,153
"Wednesday, July 24, 2024",23,26
"Saturday, July 20, 2024",433,116
"Friday, July 19, 2024","1,176",95
