Day,Entries,Exits
"Saturday, February 22, 2025","3,422","1,684"
"Friday, February 21, 2025","1,030","1,178"
"Wednesday, February 19, 2025",750,"1,048"
"Saturday, February 15, 2025",938,"1,341"
"Friday, February 14, 2025","1,118","1,333"
"Wednesday, February 12, 2025",623,908
"Saturday, February 8, 2025",955,"1,071"
"Friday, February 7, 2025","1,237","1,497"
"Wednesday, February 5, 2025",857,"1,097"
"Saturday, February 1, 2025","1,141","1,355"
"Friday, January 31, 2025","1,084","1,241"
"Wednesday, January 29, 2025",930,"1,298"
"Saturday, January 25, 2025",971,"1,146"
"Friday, January 24, 2025","1,142","1,328"
"Wednesday, January 22, 2025",744,"1,078"
"Saturday, January 18, 2025","1,400","1,640"
"Friday, January 17, 2025","1,097","1,155"
"Wednesday, January 15, 2025",831,"1,087"
"Saturday, January 11, 2025","1,001","1,062"
"Friday, January 10, 2025",995,"1,344"
"Wednesday, January 8, 2025",866,"1,097"
"Saturday, January 4, 2025",753,878
"Friday, January 3, 2025",802,877
"Wednesday, January 1, 2025",377,534
"Saturday, December 28, 2024",580,792
"Friday, December 27, 2024",665,667
"Wednesday, December 25, 2024",144,218
"Saturday, December 21, 2024",704,719
"Friday, December 20, 2024",873,"1,151"
"Wednesday, December 18, 2024",998,"1,108"
"Saturday, December 14, 2024","1,450","1,770"
"Friday, December 13, 2024","1,810","1,932"
"Wednesday, December 11, 2024","1,187","1,287"
"Saturday, December 7, 2024","1,241","1,877"
"Friday, December 6, 2024","1,133","1,330"
"Wednesday, December 4, 2024","1,110","1,212"
"Saturday, November 30, 2024",635,817
"Friday, November 29, 2024",533,653
"Wednesday, November 27, 2024",542,625
"Saturday, November 23, 2024","1,086","1,325"
"Friday, November 22, 2024",966,"1,200"
"Wednesday, November 20, 2024",963,"1,182"
"Saturday, November 16, 2024","1,254","1,197"
"Friday, November 15, 2024","1,116","1,198"
"Wednesday, November 13, 2024","1,002","1,288"
"Saturday, November 9, 2024","1,277","1,124"
"Friday, November 8, 2024","1,362","1,430"
"Wednesday, November 6, 2024",738,"1,103"
"Saturday, November 2, 2024","2,341","1,858"
"Friday, November 1, 2024","1,216","1,267"
"Wednesday, October 30, 2024","1,246","1,406"
"Saturday, October 26, 2024","2,014","1,882"
"Friday, October 25, 2024","1,443","1,644"
"Wednesday, October 23, 2024","1,230","1,571"
"Saturday, October 19, 2024","5,535","1,711"
"Friday, October 18, 2024","1,520","1,692"
"Wednesday, October 16, 2024","1,112","1,302"
"Saturday, October 12, 2024","2,918","1,827"
"Friday, October 11, 2024","1,379","1,458"
"Wednesday, October 9, 2024","1,016","1,272"
"Saturday, October 5, 2024","2,015","1,575"
"Friday, October 4, 2024","1,327","1,374"
"Wednesday, October 2, 2024",961,"1,129"
"Saturday, September 28, 2024","12,648","2,761"
"Friday, September 27, 2024","9,699","3,075"
"Wednesday, September 25, 2024","5,425","1,831"
"Saturday, September 21, 2024","9,732","1,709"
"Friday, September 20, 2024","1,489","1,569"
"Wednesday, September 18, 2024","1,272","1,287"
"Saturday, September 14, 2024","8,509","2,576"
"Friday, September 13, 2024","8,177","2,904"
"Wednesday, September 11, 2024","5,712","1,739"
"Saturday, September 7, 2024","12,436","3,952"
"Friday, September 6, 2024","1,489","1,328"
"Wednesday, September 4, 2024",958,"1,072"
"Saturday, August 31, 2024","6,325","1,105"
"Friday, August 30, 2024","9,608","3,043"
"Wednesday, August 28, 2024","9,612","1,896"
"Saturday, August 24, 2024","6,708","2,294"
"Friday, August 23, 2024","1,417","1,311"
"Wednesday, August 21, 2024","5,571","1,591"
"Saturday, August 17, 2024","1,437","1,240"
"Friday, August 16, 2024","1,579","1,400"
"Wednesday, August 14, 2024","1,166","1,073"
"Saturday, August 10, 2024","8,356","2,090"
"Friday, August 9, 2024","7,420","3,161"
"Wednesday, August 7, 2024","4,455","1,457"
"Saturday, August 3, 2024","2,991",945
"Friday, August 2, 2024","7,826","2,597"
"Wednesday, July 31, 2024","1,159","1,071"
"Saturday, July 27, 2024","4,375","1,757"
"Friday, July 26, 2024","1,703","1,475"
"Wednesday, July 24, 2024","9,129","2,036"
"Saturday, July 20, 2024","14,450","3,216"
"Friday, July 19, 2024","16,222","6,169"
"Wednesday, July 17, 2024","1,063",827
"Saturday, July 13, 2024","15,085","2,522"
"Friday, July 12, 2024","4,462","1,251"
"Wednesday, July 10, 2024","1,200","1,101"
"Saturday, July 6, 2024","5,898","1,167"
"Friday, July 5, 2024","9,037","2,132"
"Wednesday, July 3, 2024","13,359","4,037"
"Saturday, June 29, 2024","5,342","2,062"
"Friday, June 28, 2024","1,766","1,546"
"Wednesday, June 26, 2024","1,247","1,220"
"Saturday, June 22, 2024","4,476","2,192"
"Friday, June 21, 2024","1,681","1,641"
"Wednesday, June 19, 2024","5,664","1,842"
"Saturday, June 15, 2024","8,879","2,471"
"Friday, June 14, 2024","9,027","2,745"
"Wednesday, June 12, 2024","9,527","2,807"
"Saturday, June 8, 2024","7,771","2,420"
"Friday, June 7, 2024","15,788","6,081"
"Wednesday, June 5, 2024","4,108","1,081"
"Saturday, June 1, 2024","4,662","2,114"
