Day,Entries,Exits
"Saturday, February 22, 2025",784,922
"Friday, February 21, 2025",808,996
"Wednesday, February 19, 2025",822,"1,063"
"Saturday, February 15, 2025",12,10
"Friday, February 14, 2025",931,"1,181"
"Wednesday, February 12, 2025",651,756
"Saturday, February 8, 2025",701,880
"Friday, February 7, 2025",963,"1,201"
"Wednesday, February 5, 2025",927,"1,097"
"Saturday, February 1, 2025",899,"1,072"
"Friday, January 31, 2025",853,"1,116"
"Wednesday, January 29, 2025",909,"1,250"
"Saturday, January 25, 2025",742,"1,072"
"Friday, January 24, 2025","1,038","1,177"
"Wednesday, January 22, 2025",707,955
"Saturday, January 18, 2025",806,"1,067"
"Friday, January 17, 2025",901,"1,065"
"Wednesday, January 15, 2025",930,"1,089"
"Saturday, January 11, 2025",549,782
"Friday, January 10, 2025",785,922
"Wednesday, January 8, 2025",796,978
"Saturday, January 4, 2025",426,556
"Friday, January 3, 2025",537,610
"Wednesday, January 1, 2025",242,405
"Saturday, December 28, 2024",309,518
"Friday, December 27, 2024",408,532
"Wednesday, December 25, 2024",120,162
"Saturday, December 21, 2024",439,513
"Friday, December 20, 2024",627,726
"Wednesday, December 18, 2024",695,954
"Saturday, December 14, 2024",864,"1,237"
"Friday, December 13, 2024",901,"1,181"
"Wednesday, December 11, 2024",897,"1,194"
"Saturday, December 7, 2024",809,"1,382"
"Friday, December 6, 2024",927,"1,076"
"Wednesday, December 4, 2024",791,"1,171"
"Saturday, November 30, 2024",446,656
"Friday, November 29, 2024",461,652
"Wednesday, November 27, 2024",587,694
"Saturday, November 23, 2024",678,959
"Friday, November 22, 2024",755,947
"Wednesday, November 20, 2024",842,"1,198"
"Saturday, November 16, 2024",790,988
"Friday, November 15, 2024",976,"1,171"
"Wednesday, November 13, 2024",872,"1,313"
"Saturday, November 9, 2024",763,"1,002"
"Friday, November 8, 2024","1,027","1,191"
"Wednesday, November 6, 2024",780,"1,065"
"Saturday, November 2, 2024",906,"1,229"
"Friday, November 1, 2024","1,113","1,267"
"Wednesday, October 30, 2024","1,056","1,286"
"Saturday, October 26, 2024","1,000","1,148"
"Friday, October 25, 2024","1,231","1,348"
"Wednesday, October 23, 2024","1,079","1,428"
"Saturday, October 19, 2024","1,046","1,303"
"Friday, October 18, 2024","1,400","1,533"
"Wednesday, October 16, 2024","1,012","1,275"
"Saturday, October 12, 2024",840,"1,372"
"Friday, October 11, 2024","1,027","1,332"
"Wednesday, October 9, 2024","1,064","1,261"
"Saturday, October 5, 2024",996,"1,245"
"Friday, October 4, 2024","1,144","1,173"
"Wednesday, October 2, 2024",914,"1,242"
"Saturday, September 28, 2024",952,"1,428"
"Friday, September 27, 2024","1,065","1,451"
"Wednesday, September 25, 2024",947,"1,289"
"Saturday, September 21, 2024",875,"1,111"
"Friday, September 20, 2024","1,104","1,307"
"Wednesday, September 18, 2024",970,"1,314"
"Saturday, September 14, 2024",911,"1,298"
"Friday, September 13, 2024","1,107","1,494"
"Wednesday, September 11, 2024","1,027","1,420"
"Saturday, September 7, 2024","1,109","1,105"
"Friday, September 6, 2024","1,034","1,111"
"Wednesday, September 4, 2024",946,"1,021"
"Saturday, August 31, 2024",777,"1,037"
"Friday, August 30, 2024",822,"1,049"
"Wednesday, August 28, 2024",949,"1,158"
"Saturday, August 24, 2024",848,"1,163"
"Friday, August 23, 2024","1,078","1,158"
"Wednesday, August 21, 2024",872,"1,104"
"Saturday, August 17, 2024",723,908
"Friday, August 16, 2024",893,"1,076"
"Wednesday, August 14, 2024",870,998
"Saturday, August 10, 2024",827,997
"Friday, August 9, 2024",847,"1,019"
"Wednesday, August 7, 2024",764,"1,036"
"Saturday, August 3, 2024",568,928
"Friday, August 2, 2024",918,"1,351"
"Wednesday, July 31, 2024",856,"1,006"
"Saturday, July 27, 2024",915,"1,082"
"Friday, July 26, 2024",977,"1,192"
"Wednesday, July 24, 2024",982,"1,329"
"Saturday, July 20, 2024",814,"1,207"
"Friday, July 19, 2024",993,"1,293"
"Wednesday, July 17, 2024",885,958
"Saturday, July 13, 2024",917,"1,163"
"Friday, July 12, 2024",876,"1,044"
"Wednesday, July 10, 2024",886,"1,115"
"Saturday, July 6, 2024",750,947
"Friday, July 5, 2024",789,"1,122"
"Wednesday, July 3, 2024",872,"1,286"
"Saturday, June 29, 2024",892,"1,052"
"Friday, June 28, 2024","1,095","1,230"
"Wednesday, June 26, 2024",900,"1,158"
"Saturday, June 22, 2024","1,009","1,428"
"Friday, June 21, 2024","1,146","1,238"
"Wednesday, June 19, 2024",913,"1,099"
"Saturday, June 15, 2024",959,"1,203"
"Friday, June 14, 2024",956,"1,409"
"Wednesday, June 12, 2024","1,025","1,445"
"Saturday, June 8, 2024","1,057","1,857"
"Friday, June 7, 2024","1,186","1,613"
"Wednesday, June 5, 2024",940,"1,127"
"Saturday, June 1, 2024",894,"1,009"
"Friday, May 31, 2024","1,081","1,122"
"Wednesday, May 29, 2024",976,"1,118"
"Saturday, May 25, 2024",804,"1,156"
"Friday, May 24, 2024",872,"1,237"
"Wednesday, May 22, 2024",920,"1,072"
"Saturday, May 18, 2024",805,958
"Friday, May 17, 2024","1,061","1,097"
"Wednesday, May 15, 2024",978,"1,194"
"Saturday, May 11, 2024",724,855
"Friday, May 10, 2024",803,"1,049"
"Wednesday, May 8, 2024","1,002","1,375"
"Saturday, May 4, 2024",637,937
"Friday, May 3, 2024","1,009","1,225"
"Wednesday, May 1, 2024","1,068","1,289"
"Saturday, April 27, 2024",818,"1,262"
"Friday, April 26, 2024","1,013","1,299"
"Wednesday, April 24, 2024","1,026","1,390"
"Saturday, April 20, 2024",912,"1,475"
"Friday, April 19, 2024","1,020","1,388"
"Wednesday, April 17, 2024","1,045","1,306"
