Day,Entries,Exits
"Saturday, February 22, 2025",55,145
"Friday, February 21, 2025",45,115
"Wednesday, February 19, 2025",15,16
"Saturday, February 15, 2025",2,5
"Friday, February 14, 2025",113,146
"Wednesday, February 12, 2025",10,19
"Saturday, February 8, 2025",45,109
"Friday, February 7, 2025",45,133
"Wednesday, February 5, 2025",23,26
"Saturday, February 1, 2025",39,133
"Friday, January 31, 2025",39,90
"Wednesday, January 29, 2025",7,15
"Saturday, January 25, 2025",53,116
"Friday, January 24, 2025",56,168
"Wednesday, January 22, 2025",9,18
"Saturday, January 18, 2025",49,168
"Friday, January 17, 2025",38,89
"Wednesday, January 15, 2025",13,23
"Saturday, January 11, 2025",26,73
"Friday, January 10, 2025",54,122
"Wednesday, January 8, 2025",26,34
"Saturday, January 4, 2025",33,45
"Friday, January 3, 2025",18,56
"Saturday, December 28, 2024",27,27
"Friday, December 27, 2024",28,32
"Saturday, December 21, 2024",26,42
"Friday, December 20, 2024",19,53
"Wednesday, December 18, 2024",11,14
"Saturday, December 14, 2024",60,161
"Friday, December 13, 2024",72,156
"Wednesday, December 11, 2024",16,18
"Saturday, December 7, 2024",49,162
"Friday, December 6, 2024",38,109
"Wednesday, December 4, 2024",12,22
"Saturday, November 30, 2024",23,48
"Friday, November 29, 2024",34,48
"Wednesday, November 27, 2024",18,20
"Saturday, November 23, 2024",48,108
"Friday, November 22, 2024",44,104
"Wednesday, November 20, 2024",13,24
"Saturday, November 16, 2024",64,94
"Friday, November 15, 2024",63,96
"Wednesday, November 13, 2024",16,28
"Saturday, November 9, 2024",48,91
"Friday, November 8, 2024",50,93
"Wednesday, November 6, 2024",16,19
"Saturday, November 2, 2024",88,151
"Friday, November 1, 2024",63,113
"Wednesday, October 30, 2024",18,23
"Saturday, October 26, 2024",87,149
"Friday, October 25, 2024",56,102
"Wednesday, October 23, 2024",20,22
"Saturday, October 19, 2024",55,126
"Friday, October 18, 2024",61,130
"Wednesday, October 16, 2024",9,19
"Saturday, October 12, 2024",39,76
"Friday, October 11, 2024",66,89
"Wednesday, October 9, 2024",36,47
"Saturday, October 5, 2024",58,86
"Friday, October 4, 2024",54,103
"Wednesday, October 2, 2024",21,32
"Saturday, September 28, 2024",54,134
"Friday, September 27, 2024",78,104
"Wednesday, September 25, 2024",13,24
"Saturday, September 21, 2024",44,148
"Friday, September 20, 2024",46,112
"Wednesday, September 18, 2024",9,17
"Saturday, September 14, 2024",54,162
"Friday, September 13, 2024",76,100
"Wednesday, September 11, 2024",23,30
"Saturday, September 7, 2024",53,120
"Friday, September 6, 2024",50,92
"Wednesday, September 4, 2024",23,37
"Saturday, August 31, 2024",46,83
"Friday, August 30, 2024",42,111
"Wednesday, August 28, 2024",8,16
"Saturday, August 24, 2024",55,89
"Friday, August 23, 2024",51,81
"Wednesday, August 21, 2024",14,27
"Saturday, August 17, 2024",41,84
"Friday, August 16, 2024",33,86
"Wednesday, August 14, 2024",5,12
"Saturday, August 10, 2024",46,84
"Friday, August 9, 2024",38,116
"Wednesday, August 7, 2024",16,28
"Saturday, August 3, 2024",43,88
"Friday, August 2, 2024",45,117
"Wednesday, July 31, 2024",19,24
"Saturday, July 27, 2024",46,184
"Friday, July 26, 2024",60,128
"Wednesday, July 24, 2024",16,14
"Saturday, July 20, 2024",39,81
"Friday, July 19, 2024",35,221
"Wednesday, July 17, 2024",21,26
"Saturday, July 13, 2024",42,65
"Friday, July 12, 2024",35,77
"Wednesday, July 10, 2024",11,15
"Saturday, July 6, 2024",48,56
"Friday, July 5, 2024",38,79
"Wednesday, July 3, 2024",8,51
"Saturday, June 29, 2024",35,103
"Friday, June 28, 2024",44,91
"Wednesday, June 26, 2024",9,19
"Saturday, June 22, 2024",54,122
"Friday, June 21, 2024",23,109
"Saturday, June 15, 2024",52,104
"Friday, June 14, 2024",44,96
"Wednesday, June 12, 2024",14,54
"Saturday, June 8, 2024",57,132
"Friday, June 7, 2024",43,164
"Wednesday, June 5, 2024",14,16
"Saturday, June 1, 2024",43,83
"Friday, May 31, 2024",37,97
"Wednesday, May 29, 2024",24,32
"Saturday, May 25, 2024",38,88
"Friday, May 24, 2024",36,79
"Wednesday, May 22, 2024",11,20
"Saturday, May 18, 2024",42,98
"Friday, May 17, 2024",42,67
"Wednesday, May 15, 2024",38,63
"Saturday, May 11, 2024",33,71
"Friday, May 10, 2024",62,77
"Wednesday, May 8, 2024",8,19
"Saturday, May 4, 2024",38,69
"Friday, May 3, 2024",45,110
"Wednesday, May 1, 2024",12,18
"Saturday, April 27, 2024",48,195
"Friday, April 26, 2024",44,88
"Wednesday, April 24, 2024",9,28
"Saturday, April 20, 2024",58,110
"Friday, April 19, 2024",47,93
"Wednesday, April 17, 2024",19,32
"Saturday, April 13, 2024",48,115
"Friday, April 12, 2024",48,83
"Wednesday, April 10, 2024",12,27
"Saturday, April 6, 2024",66,103
"Friday, April 5, 2024",58,90
"Wednesday, April 3, 2024",24,38
"Saturday, March 30, 2024",59,85
"Friday, March 29, 2024",50,87
"Wednesday, March 27, 2024",24,31
"Saturday, March 23, 2024",47,104
"Friday, March 22, 2024",37,95
"Wednesday, March 20, 2024",19,26
"Saturday, March 16, 2024",72,115
"Friday, March 15, 2024",65,161
"Wednesday, March 13, 2024",21,38
"Saturday, March 9, 2024",37,82
"Friday, March 8, 2024",35,89
"Wednesday, March 6, 2024",11,11
"Saturday, March 2, 2024",43,90
"Friday, March 1, 2024",48,106
"Wednesday, February 28, 2024",8,18
"Saturday, February 24, 2024",62,101
"Friday, February 23, 2024",42,84
"Wednesday, February 21, 2024",10,21
"Saturday, February 17, 2024",35,108
"Friday, February 16, 2024",41,108
"Wednesday, February 14, 2024",15,25
"Saturday, February 10, 2024",59,101
"Friday, February 9, 2024",37,101
"Wednesday, February 7, 2024",10,15
"Saturday, February 3, 2024",35,75
"Friday, February 2, 2024",51,78
"Wednesday, January 31, 2024",16,18
"Saturday, January 27, 2024",37,67
"Friday, January 26, 2024",53,107
"Wednesday, January 24, 2024",29,42
"Saturday, January 20, 2024",27,72
"Friday, January 19, 2024",47,94
"Wednesday, January 17, 2024",26,31
"Saturday, January 13, 2024",0,1
"Friday, January 12, 2024",18,30
"Wednesday, January 10, 2024",21,32
"Saturday, January 6, 2024",31,51
"Friday, January 5, 2024",37,58
"Wednesday, January 3, 2024",18,31
"Saturday, December 30, 2023",35,63
"Friday, December 29, 2023",34,25
"Wednesday, December 27, 2023",17,18
"Saturday, December 23, 2023",21,27
"Friday, December 22, 2023",31,34
"Wednesday, December 20, 2023",24,36
"Saturday, December 16, 2023",50,103
"Friday, December 15, 2023",46,106
"Wednesday, December 13, 2023",10,14
"Saturday, December 9, 2023",54,124
"Friday, December 8, 2023",53,130
"Wednesday, December 6, 2023",12,32
"Saturday, December 2, 2023",47,119
"Friday, December 1, 2023",45,116
"Wednesday, November 29, 2023",9,8
"Saturday, November 25, 2023",28,69
"Friday, November 24, 2023",21,27
"Wednesday, November 22, 2023",11,25
"Saturday, November 18, 2023",41,97
"Friday, November 17, 2023",79,88
"Wednesday, November 15, 2023",9,15
"Saturday, November 11, 2023",42,117
"Wednesday, November 8, 2023",8,18
"Saturday, November 4, 2023",64,108
"Friday, November 3, 2023",36,80
"Wednesday, November 1, 2023",14,15
"Saturday, October 28, 2023",52,177
"Friday, October 27, 2023",73,140
"Wednesday, October 25, 2023",20,25
"Saturday, October 21, 2023",59,144
"Friday, October 20, 2023",26,99
"Wednesday, October 18, 2023",14,22
"Saturday, October 14, 2023",51,126
"Friday, October 13, 2023",37,104
"Wednesday, October 11, 2023",19,30
"Saturday, October 7, 2023",38,97
"Friday, October 6, 2023",39,98
"Wednesday, October 4, 2023",8,17
"Saturday, September 30, 2023",52,131
"Friday, September 29, 2023",58,107
"Wednesday, September 27, 2023",16,31
"Saturday, September 23, 2023",38,74
"Friday, September 22, 2023",60,99
