Day,Entries,Exits
"Saturday, February 22, 2025",4,9
"Friday, February 21, 2025",690,822
"Wednesday, February 19, 2025",850,610
"Saturday, February 15, 2025",423,646
"Friday, February 14, 2025",820,855
"Wednesday, February 12, 2025",393,516
"Saturday, February 8, 2025",470,616
"Friday, February 7, 2025",680,848
"Wednesday, February 5, 2025",916,617
"Saturday, February 1, 2025",3,3
"Friday, January 31, 2025",747,718
"Wednesday, January 29, 2025",922,664
"Saturday, January 25, 2025",550,673
"Friday, January 24, 2025",627,769
"Wednesday, January 22, 2025",867,551
"Saturday, January 18, 2025",529,676
"Friday, January 17, 2025",732,657
"Wednesday, January 15, 2025",897,619
"Saturday, January 11, 2025",384,533
"Friday, January 10, 2025",410,563
"Wednesday, January 8, 2025",462,552
"Saturday, January 4, 2025",242,224
"Friday, January 3, 2025",343,318
"Saturday, December 28, 2024",227,285
"Friday, December 27, 2024",240,317
"Saturday, December 21, 2024",246,301
"Friday, December 20, 2024",387,474
"Wednesday, December 18, 2024",473,544
"Saturday, December 14, 2024",437,688
"Friday, December 13, 2024",584,833
"Wednesday, December 11, 2024",562,705
"Saturday, December 7, 2024",543,"1,126"
"Friday, December 6, 2024",722,882
"Wednesday, December 4, 2024",882,717
"Saturday, November 30, 2024",283,514
"Friday, November 29, 2024",235,396
"Wednesday, November 27, 2024",341,383
"Saturday, November 23, 2024",453,681
"Friday, November 22, 2024",588,715
"Wednesday, November 20, 2024",903,686
"Saturday, November 16, 2024",546,683
"Friday, November 15, 2024",800,740
"Wednesday, November 13, 2024",896,778
"Saturday, November 9, 2024",545,756
"Friday, November 8, 2024",849,792
"Wednesday, November 6, 2024",751,605
"Saturday, November 2, 2024",668,919
"Friday, November 1, 2024",931,743
"Wednesday, October 30, 2024",962,807
"Saturday, October 26, 2024",632,933
"Friday, October 25, 2024",944,863
"Wednesday, October 23, 2024","1,008",815
"Saturday, October 19, 2024",716,"1,015"
"Friday, October 18, 2024","1,020","1,020"
"Wednesday, October 16, 2024",964,766
"Saturday, October 12, 2024",603,811
"Friday, October 11, 2024",668,786
"Wednesday, October 9, 2024","1,032",734
"Saturday, October 5, 2024",694,794
"Friday, October 4, 2024","1,178",920
"Wednesday, October 2, 2024",941,682
"Saturday, September 28, 2024","1,062","1,273"
"Friday, September 27, 2024",959,"1,059"
"Wednesday, September 25, 2024",954,732
"Saturday, September 21, 2024",621,839
"Friday, September 20, 2024","1,062",831
"Wednesday, September 18, 2024","1,006",696
"Saturday, September 14, 2024",859,"1,045"
"Friday, September 13, 2024","1,087","1,072"
"Wednesday, September 11, 2024","1,100",770
"Saturday, September 7, 2024",757,891
"Friday, September 6, 2024",961,766
"Wednesday, September 4, 2024",960,587
"Saturday, August 31, 2024",539,700
"Friday, August 30, 2024",823,766
"Wednesday, August 28, 2024",963,891
"Saturday, August 24, 2024",809,862
"Friday, August 23, 2024",882,805
"Wednesday, August 21, 2024",683,682
"Saturday, August 17, 2024",339,392
"Friday, August 16, 2024",435,434
"Wednesday, August 14, 2024",395,466
"Saturday, August 10, 2024",325,385
"Friday, August 9, 2024",352,426
"Wednesday, August 7, 2024",402,415
"Saturday, August 3, 2024",282,353
"Friday, August 2, 2024",391,534
"Wednesday, July 31, 2024",406,556
"Saturday, July 27, 2024",362,453
"Friday, July 26, 2024",435,467
"Wednesday, July 24, 2024",404,568
"Saturday, July 20, 2024",361,612
"Friday, July 19, 2024",500,645
"Wednesday, July 17, 2024",415,532
"Saturday, July 13, 2024",385,528
"Friday, July 12, 2024",384,525
"Wednesday, July 10, 2024",364,549
"Saturday, July 6, 2024",328,421
"Friday, July 5, 2024",347,482
"Wednesday, July 3, 2024",386,617
"Saturday, June 29, 2024",388,575
"Friday, June 28, 2024",470,571
"Wednesday, June 26, 2024",417,561
"Saturday, June 22, 2024",471,624
"Friday, June 21, 2024",433,517
"Saturday, June 15, 2024",422,589
"Friday, June 14, 2024",489,622
"Wednesday, June 12, 2024",455,794
"Saturday, June 8, 2024",528,972
"Friday, June 7, 2024",517,811
"Wednesday, June 5, 2024",439,581
"Saturday, June 1, 2024",364,435
"Friday, May 31, 2024",483,535
