Day,Entries,Exits
"Saturday, February 22, 2025",1,1
"Friday, February 21, 2025",21,57
"Wednesday, February 19, 2025",16,26
"Saturday, February 15, 2025",28,79
"Friday, February 14, 2025",13,101
"Wednesday, February 12, 2025",18,24
"Saturday, February 8, 2025",30,59
"Friday, February 7, 2025",23,91
"Wednesday, February 5, 2025",21,34
"Saturday, February 1, 2025",4,6
"Friday, January 31, 2025",19,78
"Wednesday, January 29, 2025",14,16
"Saturday, January 25, 2025",19,52
"Friday, January 24, 2025",23,63
"Wednesday, January 22, 2025",7,15
"Saturday, January 18, 2025",17,113
"Friday, January 17, 2025",15,67
"Wednesday, January 15, 2025",6,9
"Saturday, January 11, 2025",22,41
"Friday, January 10, 2025",24,45
"Wednesday, January 8, 2025",7,18
"Saturday, January 4, 2025",11,19
"Friday, January 3, 2025",9,30
"Saturday, December 28, 2024",10,19
"Friday, December 27, 2024",10,17
"Saturday, December 21, 2024",9,26
"Friday, December 20, 2024",28,27
"Wednesday, December 18, 2024",4,16
"Saturday, December 14, 2024",26,54
"Friday, December 13, 2024",20,64
"Wednesday, December 11, 2024",42,52
"Saturday, December 7, 2024",33,72
"Friday, December 6, 2024",24,80
"Wednesday, December 4, 2024",4,21
"Saturday, November 30, 2024",14,26
"Friday, November 29, 2024",11,21
"Wednesday, November 27, 2024",11,24
"Saturday, November 23, 2024",20,45
"Friday, November 22, 2024",23,71
"Wednesday, November 20, 2024",5,12
"Saturday, November 16, 2024",24,79
"Friday, November 15, 2024",31,119
"Wednesday, November 13, 2024",15,14
"Saturday, November 9, 2024",23,74
"Friday, November 8, 2024",27,120
"Wednesday, November 6, 2024",48,57
"Saturday, November 2, 2024",55,129
"Friday, November 1, 2024",35,103
"Wednesday, October 30, 2024",6,17
"Saturday, October 26, 2024",26,96
"Friday, October 25, 2024",29,119
"Wednesday, October 23, 2024",2,41
"Saturday, October 19, 2024",30,103
"Friday, October 18, 2024",33,119
"Wednesday, October 16, 2024",13,25
"Saturday, October 12, 2024",20,101
"Friday, October 11, 2024",21,101
"Wednesday, October 9, 2024",1,16
"Saturday, October 5, 2024",37,106
"Friday, October 4, 2024",32,100
"Wednesday, October 2, 2024",4,45
"Saturday, September 28, 2024",32,106
