Day,Entries,Exits
"Saturday, February 22, 2025",477,642
"Friday, February 21, 2025",479,908
"Wednesday, February 19, 2025",254,709
"Saturday, February 15, 2025",402,640
"Friday, February 14, 2025",544,817
"Wednesday, February 12, 2025",272,604
"Saturday, February 8, 2025",460,709
"Friday, February 7, 2025",541,875
"Wednesday, February 5, 2025",307,800
"Saturday, February 1, 2025",489,789
"Friday, January 31, 2025",522,888
"Wednesday, January 29, 2025",390,866
"Saturday, January 25, 2025",544,797
"Friday, January 24, 2025",480,779
"Wednesday, January 22, 2025",259,688
"Saturday, January 18, 2025",482,670
"Friday, January 17, 2025",545,853
"Wednesday, January 15, 2025",277,734
"Saturday, January 11, 2025",372,518
"Friday, January 10, 2025",461,769
"Wednesday, January 8, 2025",318,799
"Saturday, January 4, 2025",791,534
"Friday, January 3, 2025",865,625
"Saturday, December 28, 2024",779,572
"Friday, December 27, 2024",960,478
"Saturday, December 21, 2024",984,595
"Friday, December 20, 2024",926,819
"Wednesday, December 18, 2024",329,714
"Saturday, December 14, 2024","1,661","1,075"
"Friday, December 13, 2024","1,348","1,209"
"Wednesday, December 11, 2024",391,916
"Saturday, December 7, 2024","1,596","1,162"
"Friday, December 6, 2024","1,077","1,117"
"Wednesday, December 4, 2024",311,824
"Saturday, November 30, 2024","1,007",715
"Friday, November 29, 2024",845,507
"Wednesday, November 27, 2024",248,421
"Saturday, November 23, 2024","1,084",882
"Friday, November 22, 2024",576,847
"Wednesday, November 20, 2024",366,822
"Saturday, November 16, 2024",527,737
"Friday, November 15, 2024",584,938
"Wednesday, November 13, 2024",358,848
"Saturday, November 9, 2024",508,763
"Friday, November 8, 2024",540,954
"Wednesday, November 6, 2024",286,661
"Saturday, November 2, 2024",869,855
"Friday, November 1, 2024",567,952
"Wednesday, October 30, 2024",372,849
"Saturday, October 26, 2024",626,880
"Friday, October 25, 2024","1,199","1,487"
"Wednesday, October 23, 2024",430,865
"Saturday, October 19, 2024","1,113","1,039"
"Friday, October 18, 2024","1,029","1,097"
"Wednesday, October 16, 2024",348,833
"Saturday, October 12, 2024",544,951
"Friday, October 11, 2024",568,955
"Wednesday, October 9, 2024",388,808
"Saturday, October 5, 2024",494,747
"Friday, October 4, 2024",593,842
"Wednesday, October 2, 2024",342,748
"Saturday, September 28, 2024",545,"1,079"
"Friday, September 27, 2024",550,957
"Wednesday, September 25, 2024",347,893
"Saturday, September 21, 2024",460,824
"Friday, September 20, 2024",612,912
"Wednesday, September 18, 2024",426,831
"Saturday, September 14, 2024",622,"1,077"
"Friday, September 13, 2024",518,933
"Wednesday, September 11, 2024",325,874
"Saturday, September 7, 2024",482,815
"Friday, September 6, 2024",444,703
"Wednesday, September 4, 2024",307,644
"Saturday, August 31, 2024",461,724
"Friday, August 30, 2024",405,762
"Wednesday, August 28, 2024",320,706
"Saturday, August 24, 2024",537,869
"Friday, August 23, 2024",554,816
"Wednesday, August 21, 2024",339,692
"Saturday, August 17, 2024",489,636
"Friday, August 16, 2024",475,850
"Wednesday, August 14, 2024",360,672
"Saturday, August 10, 2024",508,758
"Friday, August 9, 2024",478,790
"Wednesday, August 7, 2024",345,698
"Saturday, August 3, 2024",360,575
"Friday, August 2, 2024",492,827
"Wednesday, July 31, 2024",370,672
"Saturday, July 27, 2024",711,943
"Friday, July 26, 2024",553,885
"Wednesday, July 24, 2024",394,851
"Saturday, July 20, 2024",538,922
"Friday, July 19, 2024",613,"1,043"
"Wednesday, July 17, 2024",329,665
"Saturday, July 13, 2024",602,901
"Friday, July 12, 2024",501,889
"Wednesday, July 10, 2024",396,740
"Saturday, July 6, 2024",381,748
"Friday, July 5, 2024",505,912
"Wednesday, July 3, 2024",437,985
"Saturday, June 29, 2024",585,914
"Friday, June 28, 2024",699,881
"Wednesday, June 26, 2024",410,831
"Saturday, June 22, 2024",609,"1,071"
"Friday, June 21, 2024",563,890
"Saturday, June 15, 2024",645,"1,108"
"Friday, June 14, 2024",606,"1,069"
"Wednesday, June 12, 2024",410,980
"Saturday, June 8, 2024",844,"1,408"
"Friday, June 7, 2024",650,"1,301"
"Wednesday, June 5, 2024",305,737
"Saturday, June 1, 2024",569,827
"Friday, May 31, 2024",506,823
"Wednesday, May 29, 2024",293,700
"Saturday, May 25, 2024",535,845
"Friday, May 24, 2024",490,839
"Wednesday, May 22, 2024",373,753
"Saturday, May 18, 2024",423,704
"Friday, May 17, 2024",572,792
"Wednesday, May 15, 2024",357,886
"Saturday, May 11, 2024",498,588
"Friday, May 10, 2024",517,773
"Wednesday, May 8, 2024",422,879
"Saturday, May 4, 2024",583,570
"Friday, May 3, 2024",540,853
"Wednesday, May 1, 2024",392,765
"Saturday, April 27, 2024",525,656
"Friday, April 26, 2024",580,925
"Wednesday, April 24, 2024",429,812
"Saturday, April 20, 2024",666,837
"Friday, April 19, 2024",591,942
"Wednesday, April 17, 2024",400,800
"Saturday, April 13, 2024",612,900
"Friday, April 12, 2024",631,981
"Wednesday, April 10, 2024",391,828
"Saturday, April 6, 2024",580,868
"Friday, April 5, 2024",579,977
"Wednesday, April 3, 2024",313,831
"Saturday, March 30, 2024",651,976
"Friday, March 29, 2024",621,"1,048"
"Wednesday, March 27, 2024",343,816
"Saturday, March 23, 2024",548,746
"Friday, March 22, 2024",588,900
"Wednesday, March 20, 2024",393,970
"Saturday, March 16, 2024",679,929
"Friday, March 15, 2024",490,806
"Wednesday, March 13, 2024",394,923
"Saturday, March 9, 2024",397,485
"Friday, March 8, 2024",471,833
