Day,Entries,Exits
"Saturday, February 22, 2025",85,67
"Friday, February 21, 2025",63,47
"Wednesday, February 19, 2025",6,10
"Saturday, February 15, 2025",52,39
"Friday, February 14, 2025",51,68
"Wednesday, February 12, 2025",3,3
"Saturday, February 8, 2025",64,58
"Friday, February 7, 2025",59,42
"Wednesday, February 5, 2025",2,7
"Saturday, February 1, 2025",60,48
"Friday, January 31, 2025",38,53
"Wednesday, January 29, 2025",8,9
"Saturday, January 25, 2025",67,65
"Friday, January 24, 2025",64,38
"Wednesday, January 22, 2025",5,5
"Saturday, January 18, 2025",52,41
"Friday, January 17, 2025",59,41
"Wednesday, January 15, 2025",6,8
"Saturday, January 11, 2025",63,39
"Friday, January 10, 2025",51,58
"Wednesday, January 8, 2025",19,20
"Saturday, January 4, 2025",36,32
"Friday, January 3, 2025",34,39
"Saturday, December 28, 2024",43,26
"Friday, December 27, 2024",23,13
"Saturday, December 21, 2024",28,24
"Friday, December 20, 2024",41,28
"Wednesday, December 18, 2024",4,6
"Saturday, December 14, 2024",104,78
"Friday, December 13, 2024",96,77
"Wednesday, December 11, 2024",11,8
"Saturday, December 7, 2024",68,77
"Friday, December 6, 2024",45,53
"Wednesday, December 4, 2024",9,13
"Saturday, November 30, 2024",44,46
"Friday, November 29, 2024",29,14
"Wednesday, November 27, 2024",4,3
"Saturday, November 23, 2024",64,49
"Friday, November 22, 2024",70,70
"Wednesday, November 20, 2024",2,3
"Saturday, November 16, 2024",71,100
"Friday, November 15, 2024",45,50
"Wednesday, November 13, 2024",8,13
"Saturday, November 9, 2024",66,48
"Friday, November 8, 2024",58,51
"Wednesday, November 6, 2024",11,13
"Saturday, November 2, 2024",87,64
"Friday, November 1, 2024",85,53
"Wednesday, October 30, 2024",7,17
"Saturday, October 26, 2024",109,98
"Friday, October 25, 2024",156,51
"Wednesday, October 23, 2024",1,15
"Saturday, October 19, 2024",114,85
"Friday, October 18, 2024",60,72
"Wednesday, October 16, 2024",3,13
"Saturday, October 12, 2024",63,56
"Friday, October 11, 2024",88,47
"Wednesday, October 9, 2024",3,10
"Saturday, October 5, 2024",57,49
"Friday, October 4, 2024",37,46
"Wednesday, October 2, 2024",11,10
"Saturday, September 28, 2024",58,68
"Friday, September 27, 2024",41,46
"Wednesday, September 25, 2024",10,14
"Saturday, September 21, 2024",70,46
"Friday, September 20, 2024",53,47
"Wednesday, September 18, 2024",22,24
"Saturday, September 14, 2024",100,87
"Friday, September 13, 2024",100,73
"Wednesday, September 11, 2024",29,34
"Saturday, September 7, 2024",44,102
"Friday, September 6, 2024",40,42
"Wednesday, September 4, 2024",14,16
"Saturday, August 31, 2024",72,57
"Friday, August 30, 2024",35,49
"Wednesday, August 28, 2024",15,10
"Saturday, August 24, 2024",58,42
"Friday, August 23, 2024",52,40
"Wednesday, August 21, 2024",9,11
"Saturday, August 17, 2024",57,59
"Friday, August 16, 2024",48,30
"Wednesday, August 14, 2024",24,24
"Saturday, August 10, 2024",67,31
"Friday, August 9, 2024",83,82
"Wednesday, August 7, 2024",6,11
"Saturday, August 3, 2024",53,42
"Friday, August 2, 2024",59,47
"Wednesday, July 31, 2024",9,8
"Saturday, July 27, 2024",80,72
"Friday, July 26, 2024",59,102
"Wednesday, July 24, 2024",9,17
"Saturday, July 20, 2024",83,75
"Friday, July 19, 2024",78,146
"Wednesday, July 17, 2024",11,17
"Saturday, July 13, 2024",64,63
"Friday, July 12, 2024",43,49
"Wednesday, July 10, 2024",6,10
"Saturday, July 6, 2024",67,48
"Friday, July 5, 2024",77,65
"Wednesday, July 3, 2024",5,17
"Saturday, June 29, 2024",89,74
"Friday, June 28, 2024",73,57
"Wednesday, June 26, 2024",18,29
"Saturday, June 22, 2024",65,108
"Friday, June 21, 2024",74,49
"Saturday, June 15, 2024",56,48
"Friday, June 14, 2024",62,65
"Wednesday, June 12, 2024",9,22
"Saturday, June 8, 2024",119,75
"Friday, June 7, 2024",64,114
"Wednesday, June 5, 2024",7,10
"Saturday, June 1, 2024",54,60
"Friday, May 31, 2024",54,39
"Wednesday, May 29, 2024",8,15
"Saturday, May 25, 2024",47,26
"Friday, May 24, 2024",78,61
"Wednesday, May 22, 2024",14,19
"Saturday, May 18, 2024",61,39
"Friday, May 17, 2024",44,47
"Wednesday, May 15, 2024",41,33
"Saturday, May 11, 2024",58,49
"Friday, May 10, 2024",46,42
"Wednesday, May 8, 2024",13,25
"Saturday, May 4, 2024",40,40
"Friday, May 3, 2024",77,48
"Wednesday, May 1, 2024",16,25
